observation_id,food_name,ground_truth,predicted,h_mean,s_mean,v_mean,h_std,s_std,v_std,dark_ratio,texture_score,freshness_score,ambient_temp_c,humidity_pct,scan_date,location
14,oats,fresh,fresh,30.73,110.25,175.61,8.71,24.43,18.45,0.0,0.671,84.3,5.1,83.2,2025-11-04,Bangalore
15,tofu,fresh,fresh,23.53,139.96,198.31,8.66,18.41,21.54,0.0,0.795,81.6,6.6,92.5,2025-06-08,Mumbai
16,orange,fresh,fresh,30.78,169.37,165.96,7.34,18.82,15.61,0.0,0.838,80.4,6.1,62.2,2025-02-26,Kolkata
17,pasta,fresh,fresh,32.37,155.22,180.1,7.53,15.75,18.74,0.0,0.197,82.9,4.0,79.7,2025-04-20,Mumbai
18,cream,fresh,fresh,27.26,133.95,176.77,8.81,25.66,20.52,0.0,0.195,85.6,3.9,60.5,2025-11-11,Chennai
19,potato,fresh,fresh,32.06,148.51,141.62,7.95,20.18,27.39,0.0063,0.351,80.4,5.7,61.5,2025-04-14,Delhi
20,olive_oil,moderate,fresh,23.08,97.54,129.13,7.66,28.43,27.26,0.0,0.583,88.6,7.9,89.8,2025-03-09,Chennai
21,salmon,fresh,fresh,36.33,131.81,208.06,5.2,21.76,26.57,0.0,0.932,91.2,6.6,64.7,2025-03-21,Kolkata
22,tofu,fresh,fresh,22.08,138.67,181.99,6.99,15.35,20.21,0.0,0.402,93.1,5.7,80.5,2025-07-17,Pune
23,almond,fresh,fresh,21.5,159.47,161.61,11.1,17.65,19.03,0.0195,0.309,88.5,5.7,91.4,2025-05-08,Pune
24,mushroom,moderate,fresh,33.14,59.23,135.69,12.61,20.18,25.55,0.0,0.437,81.0,3.8,65.3,2025-04-21,Chennai
25,tomato,spoiled,moderate,13.56,51.73,35.26,3.36,16.57,20.89,0.3415,0.765,46.5,4.0,69.7,2025-11-26,Kolkata
26,strawberry,fresh,fresh,2.5,215.2,146.4,2.46,15.88,17.86,0.0059,0.36,96.8,2.1,89.6,2025-06-11,Mumbai
27,kiwi,fresh,fresh,44.93,159.48,156.17,9.31,17.08,22.36,0.0066,0.324,93.1,6.1,85.2,2025-10-28,Bangalore
28,butter,fresh,fresh,39.27,133.59,199.27,8.83,22.47,25.69,0.0,0.883,87.6,2.4,66.7,2025-11-05,Mumbai
29,lemon,fresh,fresh,28.04,134.93,162.21,6.37,19.77,21.02,0.0132,0.939,87.1,3.4,62.7,2025-12-15,Delhi
30,peach,moderate,fresh,27.77,110.68,130.33,12.91,24.21,33.16,0.0,0.324,77.7,3.7,75.7,2025-11-07,Delhi
31,milk,fresh,fresh,13.13,5.71,229.29,5.96,4.33,12.14,0.0,0.251,90.9,4.6,77.7,2025-12-14,Kolkata
32,blueberry,moderate,fresh,29.73,88.18,108.83,6.97,23.66,27.57,0.0,0.443,83.4,7.1,86.6,2025-05-20,Hyderabad
33,blueberry,moderate,fresh,27.14,58.86,134.33,10.77,22.35,25.46,0.0,0.375,73.8,3.7,79.7,2025-08-03,Delhi
34,lemon,moderate,fresh,25.58,61.43,138.94,11.12,28.25,28.16,0.0166,0.104,74.6,7.2,85.6,2025-06-16,Bangalore
35,peas,spoiled,fresh,6.22,20.93,80.3,11.03,16.55,31.56,0.0934,0.541,72.2,5.8,80.6,2025-07-02,Chennai
36,potato,spoiled,fresh,25.71,52.03,89.08,11.3,14.05,22.28,0.0651,0.961,65.3,6.6,86.3,2025-06-17,Pune
37,cheese,moderate,fresh,17.27,84.08,117.87,10.16,31.94,19.4,0.0,0.447,77.1,4.5,68.6,2025-08-02,Kolkata
38,garlic,moderate,fresh,31.86,49.68,118.2,12.18,25.19,21.77,0.0079,0.681,80.0,3.6,75.9,2025-11-05,Delhi
39,tomato,moderate,fresh,5.14,143.59,115.39,4.43,20.14,18.05,0.0137,0.111,89.7,6.6,82.6,2025-07-13,Pune
40,beef,spoiled,moderate,41.44,44.51,29.5,10.37,13.01,22.56,0.3689,0.888,35.0,3.0,74.9,2025-12-10,Hyderabad
41,cream,moderate,fresh,17.07,87.13,142.62,11.73,21.4,24.0,0.0,0.47,79.4,7.3,85.5,2025-02-04,Pune
42,chicken,moderate,fresh,20.25,73.67,174.14,10.81,21.22,27.75,0.0,0.774,80.5,7.6,73.9,2025-05-01,Mumbai
43,cheese,fresh,fresh,46.98,170.65,149.61,7.03,23.8,17.88,0.0079,0.572,79.9,5.9,85.7,2025-03-06,Delhi
44,pear,moderate,fresh,29.44,109.37,106.83,9.88,15.28,21.93,0.0,0.954,75.0,4.7,88.5,2025-03-07,Chennai
45,almond,fresh,fresh,27.98,125.04,212.65,5.14,18.68,20.39,0.0,0.912,93.2,4.5,81.9,2025-10-04,Kolkata
46,bread,fresh,fresh,41.53,121.28,203.26,8.02,17.06,21.39,0.0,0.349,84.8,4.1,80.5,2025-08-16,Pune
47,walnut,fresh,fresh,31.59,138.0,181.4,7.23,20.34,21.99,0.0101,0.107,80.3,5.5,94.6,2025-02-07,Hyderabad
48,apple,fresh,fresh,9.76,155.24,232.0,0.9,19.54,16.76,0.0185,0.339,92.6,4.9,86.5,2025-10-14,Delhi
49,garlic,moderate,fresh,27.81,74.43,124.8,9.01,23.23,27.55,0.0,0.316,76.7,4.2,73.9,2025-10-02,Delhi
50,bell_pepper,moderate,fresh,28.57,72.68,152.49,10.61,27.44,26.89,0.0148,0.462,73.3,7.0,92.4,2025-01-20,Chennai
51,butter,fresh,fresh,23.37,138.8,194.95,9.22,19.94,20.35,0.0126,0.432,91.6,5.7,83.1,2025-08-17,Bangalore
52,pasta,fresh,fresh,40.22,138.17,190.94,7.6,19.35,23.3,0.0183,0.831,95.9,2.1,72.6,2025-01-26,Pune
53,cucumber,moderate,fresh,33.25,110.34,162.64,10.04,27.05,24.07,0.0,0.765,80.0,6.8,72.2,2025-08-22,Kolkata
54,tofu,spoiled,fresh,23.24,33.05,71.94,11.19,12.55,26.28,0.1321,0.276,65.1,2.9,78.2,2025-10-26,Kolkata
55,lentils,fresh,fresh,21.95,125.72,203.16,9.58,21.87,21.89,0.0119,0.371,82.4,6.0,79.2,2025-08-06,Bangalore
56,pineapple,fresh,fresh,29.9,132.05,181.52,6.65,22.93,19.56,0.0,0.253,87.7,7.7,84.5,2025-02-14,Pune
57,banana,fresh,fresh,26.7,205.18,224.13,2.87,12.53,10.73,0.0161,0.79,100.0,3.3,69.0,2025-08-22,Chennai
58,pasta,fresh,fresh,31.96,139.86,170.58,8.46,15.66,15.78,0.009,0.181,87.2,6.2,90.5,2025-10-25,Hyderabad
59,watermelon,moderate,fresh,17.82,84.66,137.77,12.95,27.57,24.52,0.0087,0.762,78.8,4.3,82.5,2025-09-28,Bangalore
60,avocado,fresh,fresh,29.85,129.95,179.63,7.42,20.97,17.52,0.0,0.18,80.6,6.4,92.8,2025-12-04,Hyderabad
61,garlic,fresh,fresh,34.15,180.65,177.82,8.8,22.07,18.8,0.0,0.763,86.6,3.9,80.7,2025-04-28,Bangalore
62,mushroom,fresh,fresh,31.79,150.25,181.95,6.45,20.07,21.49,0.0072,0.817,85.9,5.1,81.1,2025-04-04,Bangalore
63,apple,fresh,fresh,9.35,199.19,232.3,1.47,22.62,15.55,0.0,0.949,94.3,7.0,77.5,2025-08-05,Hyderabad
64,spinach,fresh,fresh,47.52,133.83,163.21,6.8,13.63,18.42,0.0121,0.733,88.3,5.6,70.8,2025-12-04,Delhi
65,lentils,moderate,fresh,17.41,93.76,138.54,13.75,27.85,23.27,0.0,0.362,83.5,7.8,62.1,2025-06-05,Kolkata
66,lentils,fresh,fresh,22.81,159.84,153.6,11.66,23.54,18.59,0.0124,0.73,90.2,2.3,90.3,2025-03-28,Bangalore
67,chickpeas,fresh,fresh,16.29,177.08,177.71,10.48,15.22,18.2,0.0064,0.864,97.1,7.9,79.2,2025-06-14,Pune
68,milk,spoiled,fresh,25.04,45.56,131.0,9.25,8.8,19.57,0.0,0.575,82.1,3.7,84.4,2025-04-23,Kolkata
69,egg,fresh,fresh,30.96,160.29,194.23,5.75,15.4,23.83,0.0101,0.622,83.8,6.8,89.7,2025-12-10,Bangalore
70,rice,fresh,fresh,32.66,135.03,211.02,8.23,23.54,20.2,0.0078,0.362,83.7,2.9,67.6,2025-12-07,Pune
71,rice,fresh,fresh,46.49,185.11,175.02,9.94,21.94,24.11,0.003,0.71,93.2,7.9,65.2,2025-07-22,Kolkata
72,peach,spoiled,moderate,10.35,45.29,91.17,6.48,11.45,13.88,0.0631,0.262,64.8,2.3,94.3,2025-11-11,Hyderabad
73,mushroom,spoiled,fresh,17.31,45.76,100.05,10.15,19.89,15.86,0.0,0.131,77.6,3.4,77.1,2025-12-20,Mumbai
74,rice,moderate,fresh,7.97,88.61,139.6,9.93,18.8,24.73,0.0196,0.704,85.6,2.5,76.2,2025-11-13,Delhi
75,bread,moderate,fresh,11.96,106.74,139.16,8.12,23.46,21.82,0.0,0.174,80.1,4.9,83.4,2025-09-08,Chennai
76,beef,moderate,fresh,24.37,113.88,105.36,11.01,23.41,22.62,0.0,0.771,81.1,6.8,66.3,2025-08-21,Pune
77,mushroom,fresh,fresh,29.14,129.3,168.93,5.6,25.89,20.11,0.0,0.742,79.9,7.2,78.8,2025-07-27,Pune
78,banana,fresh,fresh,27.2,213.21,218.88,3.56,16.84,12.27,0.0113,0.577,99.8,2.4,89.3,2025-09-23,Kolkata
79,rice,fresh,fresh,25.76,138.48,174.5,3.4,15.45,24.1,0.0186,0.908,90.9,3.1,81.0,2025-03-01,Hyderabad
80,zucchini,moderate,fresh,41.45,83.77,144.41,10.62,34.24,28.36,0.0,0.286,75.2,3.0,79.7,2025-01-03,Chennai
81,yogurt,fresh,fresh,28.98,130.89,147.87,8.41,17.73,15.73,0.0,0.979,91.8,5.9,68.7,2025-01-17,Kolkata
82,spinach,moderate,fresh,18.53,62.96,172.18,11.76,24.98,29.44,0.0031,0.726,81.3,5.1,94.5,2025-06-20,Hyderabad
83,yogurt,fresh,fresh,30.62,132.77,210.46,9.08,16.89,19.43,0.0128,0.313,82.9,3.1,70.5,2025-04-05,Hyderabad
84,egg,fresh,fresh,23.0,122.34,198.52,11.82,15.8,21.69,0.0,0.66,85.5,2.4,68.9,2025-07-21,Mumbai
85,corn,fresh,fresh,24.79,140.26,168.15,6.27,20.15,17.51,0.0071,0.946,93.6,2.9,67.1,2025-11-24,Delhi
86,bread,moderate,fresh,27.7,88.74,124.03,8.18,23.27,27.27,0.0,0.692,75.0,6.9,81.2,2025-07-27,Mumbai
87,cucumber,spoiled,moderate,25.01,20.34,71.99,11.5,9.99,21.63,0.1211,0.643,59.6,2.5,64.4,2025-02-22,Hyderabad
88,peas,fresh,fresh,24.7,161.41,164.73,4.39,15.12,20.14,0.0,0.4,89.7,3.6,90.4,2025-04-09,Chennai
89,mango,fresh,fresh,32.08,131.91,192.77,4.68,19.8,16.37,0.0,0.195,95.4,7.6,66.2,2025-12-10,Hyderabad
90,cheese,fresh,fresh,24.79,150.95,162.79,7.23,23.02,18.27,0.0029,0.354,84.2,3.6,63.5,2025-01-06,Delhi
91,walnut,fresh,fresh,36.69,127.41,190.6,10.88,12.59,17.61,0.0097,0.971,85.0,5.2,80.8,2025-07-16,Hyderabad
92,lemon,fresh,fresh,34.62,145.94,187.42,6.79,20.26,19.53,0.0085,0.692,91.3,2.9,79.9,2025-05-02,Pune
93,bread,spoiled,fresh,31.68,38.82,76.75,9.18,13.54,18.7,0.1062,0.648,67.3,6.2,66.4,2025-06-26,Bangalore
94,yogurt,fresh,fresh,33.16,141.58,185.8,12.15,22.61,19.02,0.0008,0.747,95.1,7.5,68.0,2025-11-28,Chennai
95,lettuce,fresh,fresh,39.61,141.84,139.24,5.98,14.39,18.95,0.0,0.172,81.3,6.4,93.1,2025-03-19,Chennai
96,orange,moderate,fresh,25.18,131.91,138.17,9.56,27.49,18.37,0.0,0.887,84.5,7.8,74.8,2025-09-24,Mumbai
97,milk,fresh,fresh,11.18,13.85,225.21,7.29,6.02,8.75,0.0071,0.579,86.4,2.7,60.5,2025-04-27,Pune
98,apple,moderate,fresh,21.16,176.77,163.64,5.5,23.62,17.45,0.01,0.32,91.5,6.4,93.3,2025-09-22,Hyderabad
99,strawberry,moderate,fresh,8.32,112.88,111.43,3.04,21.44,21.0,0.007,0.894,87.8,5.1,67.9,2025-02-12,Kolkata
100,lemon,fresh,fresh,38.3,139.8,174.6,6.04,18.67,21.13,0.0,0.441,94.2,4.2,64.0,2025-11-08,Kolkata
101,cream,spoiled,fresh,27.57,21.17,87.39,12.71,16.24,25.63,0.0546,0.535,73.8,3.6,60.1,2025-11-19,Bangalore
102,kiwi,spoiled,moderate,12.26,16.33,34.43,12.99,16.96,19.83,0.3462,0.564,49.3,7.4,92.7,2025-10-28,Bangalore
103,grape,fresh,fresh,32.24,127.49,228.92,8.26,20.33,22.18,0.0,0.419,92.3,2.0,91.2,2025-03-13,Delhi
104,apple,fresh,fresh,6.44,184.48,188.14,3.94,25.65,19.04,0.0,0.563,90.5,2.9,64.3,2025-08-01,Mumbai
105,olive_oil,moderate,fresh,40.93,77.22,105.26,9.75,25.17,28.28,0.0,0.369,73.4,4.6,66.4,2025-05-04,Bangalore
106,pasta,moderate,fresh,8.08,128.24,126.05,9.15,21.96,20.04,0.0,0.491,77.0,4.2,90.5,2025-04-04,Mumbai
107,spinach,fresh,fresh,36.59,151.47,154.2,5.41,18.99,25.01,0.0098,0.911,84.3,3.0,67.0,2025-08-22,Delhi
108,pineapple,fresh,fresh,27.92,119.94,175.09,7.45,11.91,19.84,0.012,0.743,86.6,3.9,86.8,2025-07-17,Pune
109,almond,moderate,fresh,22.69,107.41,176.22,12.25,24.19,21.68,0.0,0.197,83.4,2.1,65.4,2025-09-01,Kolkata
110,oats,fresh,fresh,50.59,151.18,180.28,7.95,20.59,19.57,0.0,0.979,90.9,6.4,75.2,2025-05-10,Bangalore
111,orange,moderate,fresh,19.26,76.33,129.18,8.91,22.86,25.32,0.0,0.56,75.6,3.5,86.8,2025-05-23,Mumbai
112,pasta,moderate,moderate,22.45,127.6,63.73,12.18,28.74,18.78,0.1896,0.829,58.2,6.2,77.6,2025-03-07,Kolkata
113,beef,moderate,fresh,21.57,80.71,94.81,8.44,21.67,30.26,0.0108,0.461,69.5,3.6,66.7,2025-03-14,Chennai
114,tuna,fresh,fresh,37.49,175.43,194.43,5.74,18.43,21.47,0.0,0.572,96.4,6.2,94.3,2025-04-11,Bangalore
115,milk,fresh,fresh,3.89,13.56,237.6,4.25,7.13,11.33,0.0,0.199,83.3,4.2,93.0,2025-12-14,Mumbai
116,cucumber,spoiled,moderate,16.39,52.39,48.38,11.23,16.78,19.07,0.2381,0.694,46.1,3.9,70.0,2025-05-20,Chennai
117,mushroom,fresh,fresh,32.61,124.98,198.48,7.63,18.43,23.15,0.0,0.374,95.1,2.6,60.5,2025-09-25,Kolkata
118,lemon,fresh,fresh,24.37,121.83,148.87,9.21,16.16,25.26,0.0,0.801,87.7,5.2,73.0,2025-11-09,Mumbai
119,beef,fresh,fresh,13.34,183.93,184.22,7.81,18.37,21.2,0.0,0.768,96.5,2.7,80.5,2025-11-27,Mumbai
120,cherry,moderate,fresh,24.62,117.58,132.86,10.3,23.91,24.83,0.0,0.592,89.1,4.1,85.4,2025-04-18,Pune
121,blueberry,fresh,fresh,32.46,115.8,153.04,9.49,20.51,19.45,0.002,0.327,78.9,7.3,89.9,2025-09-12,Delhi
122,zucchini,moderate,fresh,25.18,98.69,116.51,8.44,25.59,22.06,0.0,0.535,73.8,5.1,93.3,2025-01-06,Hyderabad
123,broccoli,moderate,fresh,49.08,45.95,95.44,10.95,20.77,17.95,0.0046,0.61,67.4,6.8,84.3,2025-12-27,Bangalore
124,cheese,moderate,fresh,41.65,115.36,83.98,7.44,23.13,25.08,0.099,0.249,77.9,6.5,73.4,2025-07-13,Hyderabad
125,broccoli,fresh,fresh,59.14,109.11,102.8,6.49,13.17,10.78,0.0029,0.633,71.5,2.1,92.5,2025-09-15,Hyderabad
126,lentils,moderate,fresh,15.77,56.21,105.6,12.11,22.15,32.9,0.0141,0.367,72.7,3.6,64.2,2025-04-02,Hyderabad
127,tomato,fresh,fresh,3.99,202.77,167.12,3.4,13.27,15.37,0.0177,0.35,92.3,2.8,90.6,2025-01-21,Mumbai
128,kiwi,fresh,fresh,50.48,148.08,202.99,6.59,19.9,25.31,0.0,0.645,81.7,4.2,62.9,2025-12-18,Delhi
129,chickpeas,fresh,fresh,24.98,186.25,194.16,6.88,21.9,22.92,0.0,0.987,97.6,5.8,60.4,2025-06-08,Pune
130,broccoli,fresh,fresh,59.97,96.45,89.09,7.5,14.78,16.86,0.056,0.981,80.8,6.7,87.3,2025-02-24,Pune
131,tofu,fresh,fresh,31.42,123.29,187.6,9.22,21.68,23.24,0.0148,0.671,89.4,5.3,88.6,2025-04-11,Delhi
132,kiwi,moderate,fresh,33.34,101.48,128.25,6.68,26.29,25.62,0.0101,0.24,86.0,3.4,85.4,2025-06-05,Bangalore
133,orange,fresh,fresh,32.17,124.47,158.38,10.11,19.88,22.04,0.0126,0.258,84.1,5.4,93.0,2025-03-21,Delhi
134,banana,fresh,fresh,30.11,210.45,229.38,2.97,15.29,8.61,0.0127,0.719,100.0,3.1,65.0,2025-07-08,Bangalore
135,rice,spoiled,moderate,15.66,30.36,74.44,9.04,18.77,17.32,0.1289,0.754,56.0,6.8,81.1,2025-07-13,Chennai
136,pineapple,moderate,fresh,23.13,79.01,166.17,10.39,28.1,20.54,0.0058,0.139,86.9,3.5,62.9,2025-03-21,Hyderabad
137,apple,moderate,fresh,19.34,142.24,161.65,7.13,23.45,24.23,0.0117,0.588,78.2,6.9,89.8,2025-02-07,Mumbai
138,milk,moderate,fresh,28.79,17.1,193.32,8.91,12.74,13.43,0.0126,0.377,87.4,4.9,68.5,2025-09-23,Delhi
139,bread,fresh,fresh,26.64,144.36,153.11,6.16,16.99,17.7,0.0,0.59,77.8,2.6,91.0,2025-07-05,Chennai
140,avocado,fresh,fresh,29.72,154.68,211.01,6.0,22.95,19.36,0.0,0.69,89.5,3.4,90.8,2025-07-22,Pune
141,pineapple,fresh,fresh,29.6,163.5,157.55,8.76,20.5,21.48,0.0,0.961,94.8,3.7,62.7,2025-06-04,Delhi
142,orange,spoiled,moderate,22.89,71.83,57.25,8.94,13.13,18.33,0.2009,0.577,58.3,5.6,83.8,2025-03-22,Pune
143,lettuce,moderate,fresh,18.63,119.73,165.51,8.86,22.5,26.41,0.015,0.344,81.6,5.0,72.9,2025-05-26,Pune
144,watermelon,moderate,fresh,19.48,105.82,135.07,6.97,29.64,30.39,0.0191,0.8,87.6,2.9,65.2,2025-08-24,Kolkata
145,milk,moderate,fresh,11.32,16.9,204.29,6.67,9.98,21.03,0.0,0.754,75.8,2.9,71.3,2025-03-06,Kolkata
146,potato,fresh,fresh,28.58,134.03,152.41,6.54,19.9,25.38,0.0,0.976,84.7,5.6,82.3,2025-03-26,Pune
147,tomato,fresh,fresh,1.96,203.36,179.75,4.38,22.58,13.41,0.0015,0.543,91.8,5.2,68.1,2025-02-19,Pune
148,peas,fresh,fresh,26.08,170.88,193.64,11.69,21.75,18.92,0.0125,0.297,94.7,2.5,72.7,2025-04-28,Chennai
149,garlic,moderate,fresh,30.91,117.72,150.51,11.01,28.2,28.51,0.0168,0.154,91.1,4.1,89.7,2025-03-10,Bangalore
150,blueberry,moderate,fresh,38.82,106.22,125.82,10.29,28.62,22.55,0.0173,0.479,81.9,3.3,67.9,2025-12-05,Chennai
151,tofu,moderate,fresh,28.69,80.17,130.72,12.56,25.57,25.14,0.0,0.968,78.0,4.2,84.5,2025-11-19,Chennai
152,milk,moderate,fresh,6.84,25.97,209.68,10.33,7.08,15.66,0.0,0.429,88.9,2.5,62.7,2025-10-27,Kolkata
153,peas,fresh,fresh,32.0,181.55,178.09,8.56,21.82,20.56,0.0097,0.773,84.6,6.2,70.5,2025-07-24,Delhi
154,zucchini,moderate,fresh,20.54,94.85,156.84,7.95,25.4,22.9,0.0,0.24,86.0,7.3,61.1,2025-03-17,Mumbai
155,apple,fresh,fresh,8.59,149.54,191.62,3.75,24.7,14.8,0.0179,0.509,87.6,6.3,69.0,2025-10-17,Delhi
156,lentils,fresh,fresh,25.56,187.62,151.04,3.6,21.32,18.49,0.0,0.183,94.8,4.3,93.3,2025-12-07,Bangalore
157,tuna,fresh,fresh,21.83,164.17,184.88,6.87,16.16,22.62,0.0129,0.978,87.4,5.6,62.7,2025-12-15,Bangalore
158,cucumber,moderate,fresh,31.5,87.52,176.17,7.86,20.42,22.92,0.0,0.149,82.4,4.2,74.8,2025-05-04,Chennai
159,watermelon,fresh,fresh,29.64,154.87,175.18,8.7,16.25,24.33,0.0,0.316,92.3,3.0,63.7,2025-04-20,Chennai
160,walnut,spoiled,moderate,19.18,51.76,76.85,10.91,16.71,21.34,0.1038,0.936,59.8,3.4,63.0,2025-10-19,Chennai
161,chicken,spoiled,moderate,26.43,54.94,73.93,11.42,14.73,24.32,0.1123,0.184,63.3,3.9,94.3,2025-05-13,Hyderabad
162,cherry,fresh,fresh,24.59,186.02,179.2,5.14,20.38,17.96,0.0,0.217,88.2,6.0,71.6,2025-12-17,Chennai
163,yogurt,moderate,fresh,33.41,73.68,118.85,6.22,23.64,17.73,0.0035,0.444,73.1,5.5,89.8,2025-05-06,Mumbai
164,oats,fresh,fresh,17.33,165.21,195.72,8.85,17.1,19.86,0.0,0.747,96.2,7.3,88.3,2025-11-05,Kolkata
165,lentils,fresh,fresh,29.97,126.83,210.07,9.75,19.34,20.08,0.0007,0.756,96.4,5.9,92.6,2025-06-15,Kolkata
166,lemon,fresh,fresh,31.67,109.17,175.06,6.64,17.0,19.16,0.0142,0.488,82.9,7.3,87.1,2025-07-08,Mumbai
167,tuna,moderate,fresh,42.98,106.02,115.72,11.15,29.2,27.77,0.0027,0.995,87.6,2.6,60.5,2025-05-18,Kolkata
168,orange,fresh,fresh,30.48,137.06,193.96,8.79,22.69,21.91,0.0,0.366,87.6,2.4,80.2,2025-06-03,Chennai
169,pear,moderate,fresh,35.5,76.62,162.93,10.4,31.23,22.93,0.0194,0.981,81.7,6.6,75.5,2025-03-04,Hyderabad
170,cheese,fresh,fresh,43.89,153.96,166.97,7.03,19.04,21.27,0.0,0.871,92.9,7.5,64.5,2025-06-17,Kolkata
171,tuna,spoiled,moderate,25.23,26.39,69.51,14.28,20.18,21.31,0.1597,0.555,57.8,3.6,90.6,2025-11-02,Hyderabad
172,rice,fresh,fresh,30.3,152.4,192.27,5.95,19.23,14.99,0.008,0.605,93.7,2.9,63.7,2025-07-06,Hyderabad
173,corn,spoiled,moderate,23.99,44.71,60.34,13.15,11.32,15.61,0.2133,0.702,52.1,4.1,76.4,2025-09-27,Bangalore
174,mango,fresh,fresh,31.8,170.94,213.68,7.08,23.24,19.88,0.0167,0.93,95.5,6.6,67.0,2025-06-03,Delhi
175,bell_pepper,spoiled,fresh,18.27,48.25,83.05,6.85,19.43,24.14,0.0929,0.529,67.4,3.7,61.3,2025-03-16,Mumbai
176,bread,fresh,fresh,25.0,157.92,189.88,8.52,18.35,17.99,0.0195,0.797,90.3,2.4,88.3,2025-07-16,Mumbai
177,grape,fresh,fresh,29.8,173.45,190.87,7.26,22.32,11.45,0.0103,0.481,82.5,3.5,66.2,2025-03-03,Delhi
178,corn,fresh,fresh,39.19,115.21,172.75,5.76,16.12,23.48,0.0,0.478,91.3,3.3,91.3,2025-03-27,Chennai
179,orange,spoiled,moderate,15.32,40.2,69.06,10.95,15.23,16.15,0.1732,0.367,59.3,3.2,93.0,2025-08-16,Hyderabad
180,tofu,moderate,fresh,34.96,77.66,91.09,9.14,29.5,27.55,0.042,0.921,80.6,5.4,88.8,2025-09-26,Hyderabad
181,cherry,fresh,fresh,27.21,143.01,173.57,12.15,21.15,21.29,0.0047,0.391,89.7,7.9,92.9,2025-12-27,Pune
182,chickpeas,fresh,fresh,38.24,154.78,174.82,7.61,19.79,19.89,0.0,0.233,82.2,7.2,64.0,2025-11-14,Delhi
183,butter,moderate,fresh,32.28,91.3,148.32,9.84,25.24,19.01,0.0177,0.872,89.8,5.8,82.4,2025-10-04,Chennai
184,kiwi,moderate,fresh,34.16,98.66,154.95,4.21,31.27,24.58,0.0079,0.797,78.0,5.6,67.6,2025-04-07,Pune
185,chicken,spoiled,moderate,31.08,19.4,82.26,7.89,13.13,25.74,0.0833,0.372,63.4,3.8,88.7,2025-02-23,Bangalore
186,rice,spoiled,fresh,18.09,38.26,87.4,10.99,15.45,21.09,0.0571,0.845,67.7,4.6,94.1,2025-06-04,Mumbai
187,cauliflower,fresh,fresh,49.23,148.85,184.02,10.1,23.32,23.56,0.0038,0.588,83.0,4.3,89.6,2025-12-22,Bangalore
188,bread,fresh,fresh,35.11,127.14,212.67,5.71,20.91,17.74,0.017,0.871,91.1,8.0,88.2,2025-02-03,Pune
189,banana,moderate,fresh,24.62,136.58,176.43,6.84,24.84,21.36,0.0,0.777,85.5,7.6,63.5,2025-08-17,Hyderabad
190,strawberry,moderate,fresh,4.02,149.28,133.79,1.54,21.79,22.1,0.0,0.799,89.9,5.3,64.0,2025-08-04,Delhi
191,cauliflower,fresh,fresh,27.62,177.51,177.0,8.25,19.48,20.05,0.0082,0.767,94.5,2.0,73.1,2025-04-17,Delhi
192,broccoli,spoiled,moderate,19.04,8.4,73.92,8.31,12.03,8.54,0.144,0.816,57.1,4.5,68.5,2025-07-02,Chennai
193,banana,fresh,fresh,27.44,190.15,236.42,6.02,12.94,16.76,0.0127,0.838,92.7,5.6,71.7,2025-10-14,Mumbai
194,egg,spoiled,moderate,29.82,30.13,20.01,14.58,10.83,15.06,0.4057,0.846,31.4,6.8,80.2,2025-03-21,Bangalore
