record_id,food_name,category,purchase_date,freshness_at_scan,freshness_score,expected_days,actual_days_left,adjusted_days,storage_temp_c,humidity_pct,storage_location,packaging,was_wasted,city,month
35,chicken,Protein,2025-12-09,moderate,22,2,1,0,4.1,56.8,counter,wrapped,False,Chennai,Aug
36,tofu,Protein,2025-05-02,moderate,16,2,1,1,4.0,72.8,door,open,False,Kolkata,Nov
37,tomato,Vegetable,2025-03-13,moderate,38,3,3,2,10.0,72.1,counter,open,False,Pune,Jul
38,walnut,Nut,2025-12-14,moderate,71,90,91,92,3.6,64.8,crisper,wrapped,False,Mumbai,Jun
39,yogurt,Dairy,2025-02-05,fresh,56,14,8,6,8.6,55.9,counter,container,False,Bangalore,Oct
40,bell_pepper,Vegetable,2025-05-17,fresh,47,8,9,7,6.8,55.1,main_shelf,wrapped,False,Bangalore,Jun
41,butter,Dairy,2025-07-05,fresh,6,14,13,9,9.0,70.5,main_shelf,wrapped,False,Mumbai,May
42,lettuce,Vegetable,2025-10-13,moderate,95,3,2,1,6.4,71.1,main_shelf,sealed_bag,False,Chennai,Sep
43,watermelon,Fruit,2025-07-03,moderate,61,3,2,2,3.0,72.6,crisper,wrapped,False,Mumbai,Feb
44,zucchini,Vegetable,2025-03-14,fresh,17,8,10,9,5.1,90.4,freezer,sealed_bag,False,Bangalore,Aug
45,cream,Dairy,2025-10-16,fresh,63,14,8,7,6.5,91.4,door,wrapped,False,Kolkata,Jun
46,tuna,Protein,2025-09-11,fresh,17,5,4,4,3.2,66.4,counter,original_pack,False,Kolkata,Apr
47,zucchini,Vegetable,2025-04-16,moderate,49,3,3,2,8.9,89.8,freezer,wrapped,False,Hyderabad,Aug
48,spinach,Vegetable,2025-07-15,fresh,45,8,10,11,1.2,89.7,crisper,original_pack,False,Hyderabad,Aug
49,onion,Vegetable,2025-04-07,fresh,7,8,5,5,3.9,73.8,counter,container,False,Chennai,Jan
50,rice,Grain,2025-07-12,moderate,50,30,31,31,3.5,56.3,door,container,False,Mumbai,Apr
51,almond,Nut,2025-06-14,fresh,46,365,295,306,3.2,94.3,main_shelf,original_pack,False,Mumbai,Apr
52,oats,Grain,2025-11-01,fresh,4,90,83,58,9.9,80.3,door,wrapped,False,Chennai,Oct
53,almond,Nut,2025-11-12,fresh,53,365,236,245,3.2,67.3,crisper,open,False,Hyderabad,Dec
54,walnut,Nut,2025-02-03,moderate,70,90,94,77,7.6,88.3,crisper,original_pack,False,Hyderabad,Apr
55,almond,Nut,2025-05-10,spoiled,60,0,0,0,3.5,72.1,freezer,wrapped,False,Hyderabad,Nov
56,walnut,Nut,2025-08-19,moderate,52,90,90,76,7.0,66.2,freezer,wrapped,False,Hyderabad,Mar
57,lentils,Legume,2025-06-20,moderate,75,60,71,58,7.4,69.8,door,open,False,Hyderabad,Nov
58,tuna,Protein,2025-01-06,fresh,73,5,5,4,7.3,82.7,main_shelf,wrapped,False,Bangalore,May
59,banana,Fruit,2025-07-06,fresh,19,10,12,10,7.1,79.9,crisper,original_pack,False,Chennai,Jun
60,watermelon,Fruit,2025-08-10,fresh,57,10,6,5,4.5,56.3,main_shelf,sealed_bag,False,Hyderabad,Oct
61,orange,Fruit,2025-08-10,fresh,38,10,11,10,5.5,61.7,main_shelf,open,False,Mumbai,Jun
62,salmon,Protein,2025-11-06,fresh,92,5,3,2,9.4,84.9,main_shelf,container,False,Bangalore,Nov
63,avocado,Fruit,2025-12-14,spoiled,52,0,0,0,5.8,84.9,door,wrapped,True,Chennai,Apr
64,orange,Fruit,2025-01-05,spoiled,45,0,0,0,1.7,82.0,counter,original_pack,True,Bangalore,Jun
65,cream,Dairy,2025-09-12,spoiled,81,0,0,0,9.6,92.4,main_shelf,open,True,Hyderabad,Jun
66,bell_pepper,Vegetable,2025-05-03,spoiled,21,0,0,0,1.5,78.1,counter,wrapped,True,Kolkata,Sep
67,pineapple,Fruit,2025-04-04,fresh,75,10,8,6,6.6,63.6,main_shelf,original_pack,False,Hyderabad,Oct
68,orange,Fruit,2025-04-18,moderate,8,3,3,3,1.4,57.2,door,wrapped,False,Mumbai,May
69,lemon,Fruit,2025-02-20,moderate,47,3,4,4,2.6,91.6,counter,wrapped,False,Pune,Apr
70,walnut,Nut,2025-02-17,spoiled,40,0,0,0,7.6,59.1,main_shelf,wrapped,False,Delhi,Feb
71,orange,Fruit,2025-11-12,fresh,46,10,9,9,2.8,58.4,main_shelf,open,False,Chennai,Jun
72,avocado,Fruit,2025-08-18,fresh,11,10,6,6,3.8,55.4,crisper,open,False,Hyderabad,Dec
73,peas,Vegetable,2025-08-14,fresh,94,8,8,6,7.0,67.5,freezer,sealed_bag,False,Pune,May
74,cucumber,Vegetable,2025-03-20,spoiled,75,0,0,0,8.0,84.7,crisper,sealed_bag,True,Hyderabad,Oct
75,broccoli,Vegetable,2025-10-04,fresh,2,8,5,5,3.8,58.3,freezer,open,False,Pune,Dec
76,potato,Vegetable,2025-12-17,spoiled,81,0,0,0,6.5,55.7,main_shelf,sealed_bag,False,Mumbai,Dec
77,pineapple,Fruit,2025-03-03,fresh,81,10,7,5,8.4,92.0,freezer,original_pack,False,Pune,Jul
78,peach,Fruit,2025-03-01,moderate,67,3,2,1,6.6,86.2,main_shelf,original_pack,False,Bangalore,Oct
79,lentils,Legume,2025-11-12,fresh,63,180,108,107,4.1,64.2,main_shelf,sealed_bag,False,Hyderabad,Nov
80,cauliflower,Vegetable,2025-11-15,fresh,34,8,6,6,2.3,56.9,counter,original_pack,False,Hyderabad,Aug
81,almond,Nut,2025-03-20,fresh,44,365,454,408,6.0,92.6,crisper,original_pack,False,Delhi,Mar
82,lentils,Legume,2025-11-01,spoiled,90,0,0,0,10.0,90.4,main_shelf,container,True,Kolkata,Jul
83,strawberry,Fruit,2025-05-01,fresh,53,10,6,4,8.1,88.3,door,original_pack,False,Bangalore,May
84,zucchini,Vegetable,2025-01-19,spoiled,2,0,0,0,9.8,93.6,door,open,False,Pune,Oct
85,yogurt,Dairy,2025-02-13,fresh,42,14,12,10,7.2,63.2,door,wrapped,False,Kolkata,Mar
86,avocado,Fruit,2025-12-13,moderate,44,3,2,1,5.6,75.4,freezer,container,False,Hyderabad,Apr
87,watermelon,Fruit,2025-03-19,fresh,2,10,11,12,1.5,80.9,crisper,open,False,Kolkata,Dec
88,cherry,Fruit,2025-05-15,moderate,10,3,1,1,3.5,88.2,counter,container,False,Chennai,Apr
89,yogurt,Dairy,2025-09-19,fresh,97,14,12,9,7.8,84.2,door,sealed_bag,False,Hyderabad,Mar
90,lentils,Legume,2025-05-15,moderate,72,60,50,44,6.3,85.1,crisper,original_pack,False,Mumbai,May
91,zucchini,Vegetable,2025-12-14,fresh,60,8,6,5,4.2,58.7,main_shelf,open,False,Kolkata,Oct
92,bell_pepper,Vegetable,2025-09-09,moderate,65,3,2,1,7.6,74.7,counter,wrapped,False,Kolkata,Nov
93,butter,Dairy,2025-11-05,moderate,75,4,3,2,8.2,70.2,main_shelf,original_pack,False,Kolkata,Nov
94,pasta,Grain,2025-03-18,moderate,0,30,22,16,9.0,76.0,crisper,container,False,Mumbai,Mar
95,tomato,Vegetable,2025-07-18,fresh,93,8,5,3,9.1,75.6,door,wrapped,False,Bangalore,Jul
96,bread,Grain,2025-09-08,fresh,61,90,55,39,9.5,66.1,door,original_pack,False,Hyderabad,Jun
97,chicken,Protein,2025-02-16,fresh,41,5,3,3,3.1,80.4,door,original_pack,False,Hyderabad,Nov
98,peach,Fruit,2025-08-09,spoiled,11,0,0,0,5.4,76.5,crisper,original_pack,False,Bangalore,Nov
99,peach,Fruit,2025-02-20,fresh,79,10,8,8,2.1,84.9,freezer,wrapped,False,Delhi,Jun
100,avocado,Fruit,2025-06-14,fresh,39,10,9,7,8.1,57.9,crisper,container,False,Bangalore,Aug
101,butter,Dairy,2025-01-19,moderate,26,4,3,2,7.5,91.5,door,container,False,Kolkata,Mar
102,grape,Fruit,2025-12-11,spoiled,73,0,0,0,2.7,56.5,freezer,sealed_bag,True,Delhi,Mar
103,lemon,Fruit,2025-11-20,moderate,21,3,3,2,8.1,63.6,freezer,wrapped,False,Bangalore,Sep
104,grape,Fruit,2025-01-03,moderate,81,3,3,3,3.3,81.2,counter,open,False,Delhi,Jan
105,kiwi,Fruit,2025-06-08,fresh,56,10,8,9,1.0,88.5,main_shelf,original_pack,False,Kolkata,Sep
106,corn,Vegetable,2025-05-09,fresh,53,8,9,9,1.9,68.8,crisper,original_pack,False,Mumbai,Oct
107,blueberry,Fruit,2025-05-13,spoiled,81,0,0,0,9.0,74.4,main_shelf,wrapped,True,Pune,Jun
108,almond,Nut,2025-10-03,fresh,13,365,489,374,8.7,67.0,counter,sealed_bag,False,Pune,Sep
109,onion,Vegetable,2025-09-12,fresh,94,8,9,6,9.3,61.1,crisper,sealed_bag,False,Chennai,Jun
110,cucumber,Vegetable,2025-09-08,moderate,2,3,3,2,6.8,81.3,freezer,wrapped,False,Delhi,Jun
111,egg,Protein,2025-04-20,fresh,47,5,6,5,4.5,71.7,freezer,wrapped,False,Pune,Sep
112,broccoli,Vegetable,2025-01-16,fresh,43,8,7,6,5.0,79.4,crisper,container,False,Pune,Oct
113,mango,Fruit,2025-03-19,moderate,86,3,1,0,5.3,69.8,door,original_pack,False,Chennai,May
114,salmon,Protein,2025-05-20,moderate,69,2,1,0,7.0,72.2,main_shelf,container,False,Kolkata,Nov
115,walnut,Nut,2025-05-15,fresh,56,365,446,446,4.0,77.8,freezer,original_pack,False,Bangalore,Jun
116,beef,Protein,2025-10-09,spoiled,83,0,0,0,4.3,67.1,main_shelf,original_pack,True,Kolkata,Jul
117,cream,Dairy,2025-10-06,fresh,18,14,13,13,4.0,71.4,crisper,container,False,Delhi,Oct
118,grape,Fruit,2025-02-12,fresh,26,10,13,10,7.2,66.9,door,container,False,Bangalore,Aug
119,pineapple,Fruit,2025-11-09,spoiled,59,0,0,0,2.0,93.0,freezer,sealed_bag,False,Hyderabad,May
120,tomato,Vegetable,2025-08-05,moderate,22,3,3,2,6.9,82.8,door,original_pack,False,Bangalore,Sep
121,bell_pepper,Vegetable,2025-12-16,fresh,39,8,5,4,4.1,80.9,crisper,wrapped,False,Hyderabad,Jun
122,rice,Grain,2025-03-18,fresh,46,90,69,58,7.0,61.1,door,original_pack,False,Hyderabad,Jan
123,olive_oil,Oil,2025-12-20,moderate,38,180,191,136,9.7,68.8,freezer,original_pack,False,Hyderabad,Feb
124,rice,Grain,2025-05-04,fresh,99,90,57,45,8.1,91.4,main_shelf,wrapped,False,Mumbai,Apr
125,kiwi,Fruit,2025-01-10,moderate,2,3,3,2,9.7,67.1,freezer,open,False,Delhi,Jul
126,beef,Protein,2025-08-19,spoiled,62,0,0,0,7.4,65.2,main_shelf,original_pack,True,Delhi,Dec
127,cucumber,Vegetable,2025-05-12,moderate,91,3,4,3,5.7,63.7,freezer,open,False,Chennai,Aug
128,banana,Fruit,2025-06-20,fresh,86,10,12,13,1.9,58.1,crisper,open,False,Kolkata,Feb
129,zucchini,Vegetable,2025-05-19,moderate,4,3,4,3,5.1,86.6,freezer,container,False,Bangalore,Dec
130,salmon,Protein,2025-12-05,fresh,14,5,5,5,3.8,58.9,door,container,False,Kolkata,Apr
131,pasta,Grain,2025-11-08,moderate,45,30,36,31,6.3,72.8,main_shelf,wrapped,False,Bangalore,Apr
132,garlic,Vegetable,2025-01-16,spoiled,7,0,0,0,7.3,78.8,freezer,sealed_bag,True,Hyderabad,Apr
133,broccoli,Vegetable,2025-02-07,moderate,78,3,4,4,3.1,68.8,crisper,open,False,Delhi,Apr
134,grape,Fruit,2025-05-20,moderate,29,3,3,3,3.8,74.7,freezer,wrapped,False,Kolkata,Nov
135,avocado,Fruit,2025-02-09,fresh,66,10,11,9,7.5,71.6,crisper,sealed_bag,False,Pune,Nov
136,apple,Fruit,2025-06-14,moderate,46,3,3,2,7.1,64.1,counter,sealed_bag,False,Bangalore,Jan
137,yogurt,Dairy,2025-07-08,fresh,93,14,17,18,2.6,94.7,freezer,container,False,Delhi,Dec
138,olive_oil,Oil,2025-07-14,moderate,74,180,128,117,5.6,85.5,crisper,open,False,Kolkata,Mar
139,oats,Grain,2025-11-06,fresh,41,90,68,53,8.2,58.0,main_shelf,wrapped,False,Chennai,Feb
140,beef,Protein,2025-06-20,fresh,39,5,5,4,6.1,94.1,freezer,original_pack,False,Bangalore,May
141,bread,Grain,2025-06-11,moderate,35,30,27,26,4.4,63.6,door,open,False,Chennai,Sep
142,mango,Fruit,2025-12-11,moderate,10,3,3,2,7.0,85.6,main_shelf,wrapped,False,Bangalore,Apr
143,yogurt,Dairy,2025-11-18,spoiled,12,0,0,0,2.3,63.2,counter,sealed_bag,True,Pune,Jul
144,yogurt,Dairy,2025-08-03,fresh,33,14,9,7,8.0,66.2,freezer,sealed_bag,False,Mumbai,Jan
145,watermelon,Fruit,2025-01-04,fresh,14,10,10,10,2.8,67.9,main_shelf,wrapped,False,Mumbai,Sep
146,kiwi,Fruit,2025-07-10,spoiled,59,0,0,0,1.0,74.3,freezer,open,False,Chennai,Jul
147,pasta,Grain,2025-08-13,moderate,18,30,28,20,9.7,64.5,counter,original_pack,False,Chennai,Aug
148,peas,Vegetable,2025-02-16,moderate,18,3,3,3,1.6,71.6,crisper,original_pack,False,Hyderabad,Sep
149,butter,Dairy,2025-10-08,fresh,5,14,8,8,3.7,75.0,main_shelf,sealed_bag,False,Bangalore,May
150,rice,Grain,2025-02-19,fresh,78,90,82,71,6.5,73.7,crisper,wrapped,False,Chennai,Jun
151,lentils,Legume,2025-05-19,spoiled,4,0,0,0,6.5,55.8,counter,wrapped,False,Mumbai,May
152,lemon,Fruit,2025-08-02,fresh,15,10,11,12,2.0,93.5,counter,open,False,Pune,Jun
153,egg,Protein,2025-07-15,moderate,1,2,1,0,9.9,60.7,freezer,original_pack,False,Mumbai,Feb
154,bell_pepper,Vegetable,2025-12-05,spoiled,99,0,0,0,3.2,91.1,door,sealed_bag,True,Chennai,Mar
155,pear,Fruit,2025-12-17,fresh,58,10,10,7,9.4,56.0,door,original_pack,False,Hyderabad,Jan
156,blueberry,Fruit,2025-06-18,spoiled,29,0,0,0,3.1,85.9,counter,original_pack,True,Kolkata,Oct
157,bread,Grain,2025-06-03,fresh,61,90,83,78,5.0,90.4,door,original_pack,False,Delhi,Jul
158,chicken,Protein,2025-03-03,fresh,38,5,5,4,4.1,56.0,crisper,open,False,Mumbai,Sep
159,tomato,Vegetable,2025-10-16,fresh,72,8,8,7,4.3,93.1,counter,open,False,Mumbai,Jun
160,walnut,Nut,2025-08-01,spoiled,24,0,0,0,5.4,74.7,crisper,original_pack,True,Bangalore,Jan
161,chicken,Protein,2025-01-11,fresh,11,5,3,2,9.2,82.9,freezer,original_pack,False,Hyderabad,Apr
162,walnut,Nut,2025-07-18,moderate,33,90,93,93,3.9,64.6,crisper,container,False,Bangalore,Jul
163,cauliflower,Vegetable,2025-05-08,fresh,39,8,9,6,8.7,55.4,door,container,False,Kolkata,Dec
164,cauliflower,Vegetable,2025-08-08,moderate,5,3,3,3,3.1,58.2,main_shelf,sealed_bag,False,Mumbai,May
165,beef,Protein,2025-08-09,moderate,43,2,2,1,7.5,73.0,crisper,open,False,Delhi,Sep
166,broccoli,Vegetable,2025-08-07,spoiled,14,0,0,0,6.3,83.0,counter,open,False,Bangalore,Jan
167,bell_pepper,Vegetable,2025-10-12,spoiled,74,0,0,0,1.5,78.8,door,wrapped,True,Chennai,Feb
168,mango,Fruit,2025-08-12,fresh,37,10,13,11,6.2,70.7,door,wrapped,False,Delhi,Aug
169,blueberry,Fruit,2025-10-07,moderate,37,3,3,3,2.4,70.5,counter,original_pack,False,Delhi,Nov
170,banana,Fruit,2025-11-13,moderate,67,3,3,2,6.5,65.3,door,wrapped,False,Chennai,Jul
171,potato,Vegetable,2025-11-14,moderate,8,3,3,3,2.6,89.6,main_shelf,container,False,Mumbai,Jul
172,egg,Protein,2025-08-15,fresh,76,5,5,3,8.8,90.3,door,wrapped,False,Chennai,Nov
173,kiwi,Fruit,2025-08-15,moderate,75,3,3,2,4.7,70.0,main_shelf,wrapped,False,Chennai,Nov
174,orange,Fruit,2025-03-18,fresh,76,10,9,9,3.1,69.3,freezer,sealed_bag,False,Mumbai,Nov
175,strawberry,Fruit,2025-04-06,fresh,29,10,13,11,6.9,61.7,main_shelf,sealed_bag,False,Chennai,Mar
176,kiwi,Fruit,2025-07-01,moderate,48,3,4,4,3.3,70.2,counter,original_pack,False,Pune,Apr
177,oats,Grain,2025-06-15,spoiled,68,0,0,0,4.1,60.2,freezer,original_pack,False,Hyderabad,May
178,orange,Fruit,2025-01-13,fresh,33,10,8,7,5.3,88.4,door,container,False,Kolkata,Sep
179,bell_pepper,Vegetable,2025-02-19,fresh,80,8,7,5,9.5,64.8,counter,open,False,Delhi,Mar
180,garlic,Vegetable,2025-06-08,fresh,56,8,6,6,2.3,87.1,freezer,original_pack,False,Mumbai,Jun
181,bell_pepper,Vegetable,2025-09-17,spoiled,81,0,0,0,8.7,93.0,freezer,container,True,Pune,Mar
182,strawberry,Fruit,2025-02-16,fresh,4,10,10,10,2.2,59.9,crisper,container,False,Pune,Jun
183,egg,Protein,2025-10-05,fresh,69,5,4,4,2.9,78.7,freezer,container,False,Hyderabad,Aug
184,peach,Fruit,2025-02-09,spoiled,20,0,0,0,2.8,86.9,door,container,True,Bangalore,Mar
185,chicken,Protein,2025-05-04,spoiled,54,0,0,0,7.0,70.7,crisper,sealed_bag,True,Mumbai,Sep
186,egg,Protein,2025-01-06,moderate,67,2,1,1,1.2,58.1,freezer,original_pack,False,Delhi,Nov
187,orange,Fruit,2025-11-01,fresh,10,10,6,5,7.1,84.2,freezer,original_pack,False,Delhi,Jun
188,broccoli,Vegetable,2025-12-03,fresh,7,8,6,5,5.5,60.5,door,wrapped,False,Bangalore,Mar
189,cauliflower,Vegetable,2025-07-19,fresh,57,8,9,7,8.0,69.2,door,original_pack,False,Mumbai,Jan
190,avocado,Fruit,2025-06-10,spoiled,94,0,0,0,5.3,91.3,counter,sealed_bag,True,Hyderabad,Jun
191,yogurt,Dairy,2025-07-18,spoiled,90,0,0,0,3.1,77.2,crisper,wrapped,True,Chennai,May
192,bell_pepper,Vegetable,2025-02-09,fresh,94,8,8,8,3.1,71.1,counter,original_pack,False,Hyderabad,Dec
193,mango,Fruit,2025-02-19,moderate,55,3,2,2,1.9,56.8,freezer,container,False,Kolkata,Aug
194,pasta,Grain,2025-01-04,fresh,71,90,98,97,4.2,77.9,main_shelf,container,False,Pune,Dec
195,onion,Vegetable,2025-01-09,fresh,73,8,6,6,2.3,77.6,main_shelf,wrapped,False,Hyderabad,Jun
196,yogurt,Dairy,2025-11-12,fresh,41,14,18,17,4.1,93.6,crisper,open,False,Bangalore,Apr
197,salmon,Protein,2025-08-11,moderate,58,2,1,0,6.4,93.9,door,open,False,Kolkata,May
198,pear,Fruit,2025-03-13,fresh,16,10,12,9,8.4,78.3,door,container,False,Chennai,Sep
199,cream,Dairy,2025-08-15,fresh,30,14,9,9,3.7,78.0,freezer,wrapped,False,Bangalore,Mar
200,walnut,Nut,2025-06-10,fresh,79,365,274,276,3.8,80.2,freezer,container,False,Bangalore,Mar
201,salmon,Protein,2025-07-10,spoiled,28,0,0,0,5.3,68.5,counter,open,False,Hyderabad,Oct
202,grape,Fruit,2025-11-10,moderate,16,3,2,1,9.4,80.9,door,wrapped,False,Hyderabad,Jul
203,grape,Fruit,2025-02-14,moderate,89,3,3,2,6.1,55.4,door,wrapped,False,Mumbai,Aug
204,peas,Vegetable,2025-12-05,fresh,16,8,10,9,4.6,82.8,door,original_pack,False,Hyderabad,Mar
205,strawberry,Fruit,2025-02-09,fresh,80,10,12,12,3.1,78.8,crisper,open,False,Pune,Jun
206,blueberry,Fruit,2025-03-06,fresh,50,10,6,4,7.4,85.1,door,open,False,Delhi,Aug
207,bell_pepper,Vegetable,2025-02-17,fresh,34,8,11,12,1.1,55.5,main_shelf,container,False,Kolkata,Apr
208,kiwi,Fruit,2025-05-06,spoiled,20,0,0,0,9.9,65.9,counter,container,False,Kolkata,Nov
209,walnut,Nut,2025-08-03,fresh,45,365,340,328,4.7,82.7,main_shelf,container,False,Chennai,Mar
210,peach,Fruit,2025-04-13,fresh,41,10,13,10,7.7,73.6,crisper,open,False,Pune,Apr
211,blueberry,Fruit,2025-01-14,moderate,38,3,1,1,1.3,93.9,freezer,wrapped,False,Chennai,Nov
212,lettuce,Vegetable,2025-12-11,fresh,40,8,7,6,5.4,88.7,door,open,False,Pune,May
213,pear,Fruit,2025-12-02,moderate,94,3,2,1,6.6,78.9,freezer,wrapped,False,Delhi,May
214,chicken,Protein,2025-07-19,fresh,2,5,3,2,9.6,82.4,door,original_pack,False,Kolkata,Apr
215,almond,Nut,2025-06-06,moderate,65,90,96,102,2.6,94.7,freezer,container,False,Pune,Apr
216,bell_pepper,Vegetable,2025-04-08,fresh,2,8,6,4,8.2,75.4,freezer,sealed_bag,False,Delhi,Jun
217,tomato,Vegetable,2025-04-14,moderate,39,3,3,3,2.9,62.2,crisper,sealed_bag,False,Mumbai,May
218,walnut,Nut,2025-04-15,fresh,20,365,293,253,6.7,76.5,crisper,sealed_bag,False,Mumbai,Jun
219,strawberry,Fruit,2025-03-11,fresh,12,10,6,6,1.4,64.9,crisper,wrapped,False,Pune,Feb
220,garlic,Vegetable,2025-10-09,spoiled,81,0,0,0,8.7,57.2,crisper,original_pack,True,Pune,Nov
221,oats,Grain,2025-10-06,fresh,47,90,78,79,3.7,58.1,door,open,False,Mumbai,Jun
222,avocado,Fruit,2025-02-19,moderate,11,3,3,2,9.5,85.8,main_shelf,original_pack,False,Chennai,Jun
223,lentils,Legume,2025-02-20,moderate,91,60,71,71,3.8,93.4,freezer,open,False,Delhi,Dec
224,cheese,Dairy,2025-07-14,spoiled,29,0,0,0,5.5,59.9,main_shelf,container,False,Mumbai,May
225,peas,Vegetable,2025-03-03,fresh,85,8,10,9,4.9,84.8,counter,original_pack,False,Pune,Jul
226,tomato,Vegetable,2025-02-11,fresh,5,8,4,3,8.0,73.3,door,sealed_bag,False,Chennai,Jun
227,salmon,Protein,2025-07-20,moderate,57,2,1,0,8.3,81.7,freezer,open,False,Delhi,Apr
228,oats,Grain,2025-01-19,fresh,4,90,123,140,1.2,92.3,crisper,open,False,Chennai,May
229,walnut,Nut,2025-10-05,moderate,62,90,106,81,8.6,84.3,counter,container,False,Hyderabad,Sep
230,mango,Fruit,2025-07-04,moderate,49,3,2,2,3.5,94.0,main_shelf,container,False,Hyderabad,Feb
231,peas,Vegetable,2025-09-12,spoiled,53,0,0,0,5.8,69.1,counter,open,False,Pune,Jan
232,pasta,Grain,2025-03-13,moderate,61,30,26,25,4.6,77.3,main_shelf,container,False,Chennai,Jan
233,milk,Dairy,2025-11-18,spoiled,14,0,0,0,2.4,55.1,door,wrapped,True,Mumbai,Aug
234,kiwi,Fruit,2025-12-01,fresh,68,10,8,7,5.2,63.9,main_shelf,open,False,Kolkata,Jul
235,salmon,Protein,2025-10-12,fresh,13,5,6,4,7.8,78.4,door,original_pack,False,Delhi,Oct
236,egg,Protein,2025-05-19,fresh,4,5,4,4,1.7,70.5,freezer,wrapped,False,Hyderabad,Sep
237,chickpeas,Legume,2025-08-04,fresh,10,180,161,122,8.8,68.5,freezer,original_pack,False,Delhi,Jul
238,strawberry,Fruit,2025-05-08,fresh,96,10,10,9,4.3,71.1,crisper,container,False,Chennai,Nov
239,rice,Grain,2025-03-12,fresh,67,90,96,104,2.3,83.8,door,wrapped,False,Delhi,Apr
