food_name,category,serving_g,calories_kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,vitamin_c_mg,iron_mg,calcium_mg,potassium_mg,glycemic_index,water_content_pct,source
orange,Fruit,75,63.71,1.15,14.66,0.18,2.97,4.65,170.1,5.8,1.72,190.8,156.9,59,50.0,IFCT
blueberry,Fruit,50,60.58,0.74,15.39,0.31,2.29,7.09,139.5,37.2,2.27,275.7,116.7,27,77.9,WHO
walnut,Nut,150,665.79,15.53,14.01,68.44,6.75,7.59,149.0,38.0,1.11,77.9,400.7,76,49.1,IFCT
broccoli,Vegetable,150,51.28,3.57,10.79,0.58,5.13,1.36,47.0,55.5,2.86,23.9,274.2,79,47.4,USDA
kiwi,Fruit,150,59.92,1.15,15.75,0.46,3.18,5.29,95.9,75.4,1.26,120.0,540.4,63,54.0,IFCT
cheese,Dairy,75,387.4,24.94,1.28,33.89,0.0,0.7,168.3,73.6,3.92,162.6,548.8,85,56.4,USDA
orange,Fruit,150,58.39,1.19,14.29,0.2,2.96,3.36,152.5,30.3,3.03,250.4,188.7,20,47.8,USDA
onion,Vegetable,75,40.96,1.15,9.53,0.1,1.82,1.51,5.1,12.2,0.59,202.5,360.2,37,47.3,WHO
olive_oil,Oil,100,837.01,0.0,0.0,93.83,0.0,0.02,22.5,2.1,1.32,204.8,577.0,60,90.7,IFCT
watermelon,Fruit,200,30.91,0.61,7.12,0.21,0.42,2.94,25.1,78.7,3.15,107.4,285.6,57,11.3,WHO
apple,Fruit,150,99.9,0.47,26.95,0.31,4.63,10.8,87.7,58.7,3.87,84.7,494.5,78,75.5,NIN
mushroom,Vegetable,200,21.18,3.27,3.47,0.28,1.06,0.86,93.5,48.8,1.58,13.5,518.0,33,49.4,WHO
carrot,Vegetable,100,50.17,1.22,13.05,0.2,2.81,1.81,49.0,32.5,2.27,75.9,311.9,72,45.8,USDA
orange,Fruit,100,59.24,1.24,14.92,0.2,3.09,5.14,85.7,59.7,1.39,212.3,199.0,42,26.0,IFCT
cucumber,Vegetable,50,16.62,0.75,3.71,0.1,0.52,0.96,118.3,60.8,2.43,294.3,507.9,47,25.7,IFCT
lettuce,Vegetable,50,15.5,1.32,2.69,0.19,1.26,1.67,127.9,60.2,0.5,8.6,206.4,71,45.1,IFCT
grape,Fruit,100,73.87,0.7,19.03,0.2,0.84,7.02,11.7,11.9,2.3,94.6,596.7,25,55.8,NIN
salmon,Protein,200,217.68,19.12,0.0,12.9,0.0,0.07,198.0,24.4,2.52,184.8,457.0,36,61.9,WHO
pasta,Grain,50,207.93,7.58,40.08,1.2,2.48,15.52,59.0,18.5,2.86,212.4,299.7,39,89.1,IFCT
mushroom,Vegetable,50,22.16,3.17,3.52,0.32,0.93,0.75,62.2,59.9,2.32,90.1,118.4,48,68.7,WHO
yogurt,Dairy,200,99.9,15.86,5.56,0.69,0.0,1.28,19.2,77.0,3.36,174.7,572.9,44,57.4,IFCT
milk,Dairy,200,152.61,8.53,11.39,8.11,0.0,3.79,19.2,27.8,1.4,202.7,521.8,52,42.5,NIN
spinach,Vegetable,150,24.15,2.92,3.57,0.39,2.14,2.11,81.4,41.2,3.95,199.0,348.4,62,9.9,WHO
tuna,Protein,150,134.65,29.16,0.0,1.01,0.0,0.28,140.0,9.7,3.9,184.6,181.6,30,33.3,USDA
egg,Protein,150,72.92,6.47,0.64,4.97,0.0,0.38,100.2,57.3,2.08,85.7,509.1,70,27.2,IFCT
potato,Vegetable,75,82.2,2.0,18.56,0.11,2.12,8.4,83.6,74.7,2.08,247.1,205.6,48,81.2,NIN
blueberry,Fruit,150,57.35,0.68,14.62,0.3,2.38,3.14,38.5,55.8,2.33,73.9,476.5,15,34.0,NIN
lentils,Legume,150,113.89,9.24,21.03,0.43,7.99,0.93,101.0,47.2,3.49,262.9,292.2,77,87.9,USDA
chickpeas,Legume,75,161.64,9.22,25.51,2.59,8.17,5.82,138.8,52.0,3.42,256.4,522.6,58,91.8,NIN
cream,Dairy,50,346.39,2.01,2.88,34.78,0.0,0.61,195.7,60.8,2.85,34.6,141.5,48,87.2,USDA
cucumber,Vegetable,50,15.47,0.69,3.4,0.1,0.51,1.82,34.8,6.3,3.5,187.8,182.5,84,18.0,NIN
bread,Grain,100,263.29,9.24,52.13,3.18,2.61,16.3,15.7,75.6,3.95,93.3,579.1,42,46.6,WHO
cherry,Fruit,150,52.83,0.94,11.97,0.29,1.55,5.27,5.4,66.4,1.64,7.4,525.8,16,87.9,NIN
spinach,Vegetable,75,23.39,2.83,3.68,0.41,2.26,1.7,132.2,67.1,2.55,271.5,405.5,49,76.8,USDA
beef,Protein,100,259.29,24.29,0.0,17.67,0.0,0.43,108.3,77.7,2.17,274.5,506.8,42,88.2,NIN
spinach,Vegetable,100,24.12,2.89,3.36,0.42,2.1,1.62,135.2,31.8,3.4,169.4,99.7,60,6.3,USDA
cauliflower,Vegetable,100,25.69,1.95,5.37,0.32,2.14,0.79,47.5,2.0,3.55,170.6,553.4,38,63.9,NIN
tofu,Protein,100,77.81,7.51,1.76,4.44,0.32,0.57,47.7,43.0,1.62,114.4,572.2,79,43.1,IFCT
peas,Vegetable,50,85.32,5.5,15.52,0.39,5.26,2.28,89.5,18.9,1.51,294.4,252.0,55,10.5,WHO
cherry,Fruit,50,53.59,1.05,11.4,0.29,1.64,7.12,11.1,26.7,3.96,237.2,162.9,80,23.9,IFCT
avocado,Fruit,100,167.02,2.09,9.14,14.47,7.54,5.34,108.5,63.9,0.53,260.6,122.5,55,76.9,IFCT
beef,Protein,100,230.63,25.02,0.0,16.79,0.0,0.47,90.2,29.0,2.42,138.3,171.9,88,8.9,WHO
cauliflower,Vegetable,50,23.24,1.89,5.22,0.31,2.0,2.94,15.6,6.5,2.47,24.4,201.3,84,54.9,WHO
potato,Vegetable,200,77.38,1.99,17.8,0.09,2.27,9.03,130.5,61.5,2.91,68.4,298.4,39,42.7,NIN
corn,Vegetable,150,89.16,3.2,18.43,1.15,2.15,7.99,95.4,7.3,0.43,132.4,459.5,57,78.9,USDA
beef,Protein,200,252.47,26.71,0.0,18.02,0.0,0.29,183.3,4.1,1.22,97.2,107.0,74,24.4,NIN
avocado,Fruit,50,156.16,2.02,8.45,14.47,6.69,2.6,112.6,61.4,2.52,204.1,356.2,87,89.5,WHO
banana,Fruit,75,101.19,1.35,28.82,0.39,2.94,2.75,131.8,5.6,2.99,291.7,100.5,77,24.6,NIN
cauliflower,Vegetable,100,23.63,1.84,5.15,0.32,2.03,2.87,32.0,60.4,0.29,29.1,293.7,64,49.2,NIN
peas,Vegetable,100,77.31,5.41,14.14,0.38,5.25,5.36,105.9,24.7,0.96,295.4,80.1,36,32.4,IFCT
olive_oil,Oil,75,921.36,0.0,0.0,99.96,0.0,0.44,107.0,18.4,2.28,202.1,244.8,60,83.4,USDA
mushroom,Vegetable,50,21.86,2.89,3.2,0.3,0.98,1.45,58.6,32.4,3.87,55.7,571.2,68,80.7,WHO
orange,Fruit,150,65.42,1.15,15.62,0.2,3.05,3.21,68.6,26.6,0.76,155.6,112.7,75,22.6,WHO
onion,Vegetable,75,38.31,1.04,8.85,0.1,1.77,3.83,36.3,61.8,2.03,227.6,467.9,67,67.0,WHO
bread,Grain,100,250.2,8.38,48.55,3.1,2.6,2.12,102.0,24.8,1.86,21.8,507.4,19,63.7,USDA
tuna,Protein,200,132.15,27.83,0.0,1.05,0.0,0.28,162.2,52.1,1.35,145.3,133.0,17,46.0,WHO
lentils,Legume,50,116.08,8.53,19.19,0.4,7.92,6.51,32.6,29.8,1.2,125.6,236.1,86,9.8,WHO
watermelon,Fruit,100,28.05,0.62,7.34,0.21,0.41,4.18,174.8,26.7,2.37,46.7,242.4,60,16.7,USDA
lettuce,Vegetable,200,14.7,1.47,3.05,0.21,1.37,1.42,137.4,42.1,2.62,129.9,249.0,56,33.1,IFCT
bell_pepper,Vegetable,150,29.47,1.08,5.67,0.29,2.2,2.07,108.4,59.1,2.15,200.3,532.0,89,16.9,NIN
blueberry,Fruit,75,54.09,0.72,14.79,0.32,2.48,0.86,73.5,57.6,3.88,185.1,463.8,67,26.3,IFCT
lettuce,Vegetable,150,15.97,1.33,2.98,0.2,1.29,1.45,155.8,40.2,1.73,52.8,159.8,87,17.6,WHO
grape,Fruit,150,73.13,0.71,16.95,0.21,0.95,3.45,152.9,21.8,3.63,48.5,290.6,38,79.3,WHO
banana,Fruit,150,97.49,1.3,25.86,0.43,3.04,0.94,186.2,67.1,2.63,238.5,125.7,46,88.5,NIN
tofu,Protein,75,79.15,7.96,1.94,5.11,0.28,0.64,30.8,75.2,2.47,129.9,476.9,40,32.4,USDA
tomato,Vegetable,150,35.78,1.63,7.16,0.42,2.4,2.71,126.8,46.0,2.9,90.9,50.9,55,26.9,NIN
pear,Fruit,50,57.21,0.39,16.3,0.1,3.24,4.88,5.0,69.9,0.27,119.1,255.3,12,37.5,USDA
onion,Vegetable,75,41.49,1.12,9.7,0.1,1.65,0.73,109.7,65.1,0.78,234.8,305.5,71,62.5,IFCT
watermelon,Fruit,150,27.78,0.57,7.95,0.21,0.39,1.76,80.2,65.2,1.95,15.8,405.8,46,37.5,USDA
rice,Grain,100,198.53,4.51,44.55,0.39,0.59,25.85,68.5,14.9,2.8,113.4,488.5,44,77.9,NIN
orange,Fruit,150,63.02,1.26,15.51,0.19,2.89,6.28,62.0,48.2,1.76,208.5,243.4,15,71.1,WHO
tuna,Protein,150,127.24,30.15,0.0,0.93,0.0,0.32,160.4,54.4,3.82,47.1,384.2,66,8.2,USDA
tomato,Vegetable,100,34.23,1.72,7.12,0.38,2.38,2.03,89.3,6.2,0.64,113.3,222.9,45,27.7,USDA
banana,Fruit,75,104.98,1.28,27.27,0.38,2.98,7.51,199.3,22.8,3.67,149.9,117.5,19,46.1,NIN
orange,Fruit,100,63.66,1.24,15.52,0.19,3.0,1.88,142.2,56.0,0.78,111.6,173.3,35,77.1,IFCT
cheese,Dairy,50,393.05,25.29,1.29,35.55,0.0,0.75,14.1,31.9,2.9,146.2,275.9,62,79.9,USDA
lemon,Fruit,100,29.66,1.09,9.57,0.29,2.97,4.46,128.3,14.6,3.87,132.6,550.9,17,80.7,IFCT
lettuce,Vegetable,75,14.19,1.5,2.77,0.21,1.3,0.85,16.7,15.7,3.83,86.0,393.8,88,53.5,IFCT
beef,Protein,200,236.17,26.66,0.0,17.29,0.0,0.22,165.2,2.3,0.28,194.2,367.2,36,74.8,NIN
tuna,Protein,50,131.96,28.57,0.0,1.07,0.0,0.1,137.3,23.8,0.38,22.7,291.8,71,47.3,WHO
salmon,Protein,75,201.76,20.7,0.0,13.75,0.0,0.43,74.7,44.9,1.34,142.6,197.1,41,17.8,USDA
spinach,Vegetable,150,24.34,2.86,3.87,0.43,2.31,2.05,144.5,15.2,0.72,298.8,306.7,49,50.3,USDA
corn,Vegetable,200,85.41,3.16,19.25,1.11,1.93,7.01,168.7,53.8,1.21,7.4,109.1,27,85.3,WHO
walnut,Nut,150,639.97,14.76,14.16,61.82,6.76,1.08,101.3,61.2,1.19,296.8,424.2,25,16.7,USDA
corn,Vegetable,100,90.06,3.22,20.33,1.25,1.9,6.05,100.5,3.6,0.63,103.2,310.6,68,18.6,IFCT
cucumber,Vegetable,200,15.54,0.69,3.67,0.11,0.51,1.34,102.4,39.2,2.3,145.1,59.2,52,66.3,NIN
beef,Protein,100,261.87,26.94,0.0,15.71,0.0,0.02,156.8,62.1,2.35,217.8,370.9,31,52.7,NIN
blueberry,Fruit,75,52.73,0.75,13.59,0.28,2.33,1.74,138.4,32.8,3.12,276.6,530.0,17,69.2,IFCT
egg,Protein,100,84.22,5.98,0.59,5.37,0.0,0.43,109.7,54.1,3.48,205.8,492.0,43,60.5,IFCT
tomato,Vegetable,100,35.33,1.53,8.28,0.39,2.32,1.35,141.3,25.4,1.46,280.4,487.5,45,31.2,NIN
corn,Vegetable,100,92.26,3.46,18.36,1.16,2.07,4.28,89.0,20.5,1.97,64.6,346.2,81,68.4,IFCT
mango,Fruit,200,62.31,0.77,13.92,0.43,1.53,2.48,20.9,26.4,1.94,206.0,125.6,80,94.0,IFCT
peas,Vegetable,150,80.71,5.14,15.58,0.39,5.22,7.95,18.8,45.9,2.19,218.3,565.2,32,43.0,IFCT
strawberry,Fruit,150,51.26,0.95,12.17,0.53,1.93,0.74,60.4,48.2,3.72,103.8,299.9,79,52.7,IFCT
yogurt,Dairy,150,96.37,17.84,5.84,0.73,0.0,2.73,3.8,27.0,1.25,203.9,156.2,88,82.9,NIN
mushroom,Vegetable,200,21.39,3.05,3.09,0.32,1.0,1.89,2.4,30.7,1.84,83.8,231.3,84,70.8,USDA
carrot,Vegetable,100,53.6,1.12,11.55,0.19,2.76,3.96,179.1,56.3,1.31,39.6,553.9,47,38.4,IFCT
avocado,Fruit,75,159.44,1.99,9.7,14.7,7.23,4.97,151.7,64.2,3.32,229.7,424.2,86,84.5,USDA
butter,Dairy,150,720.23,0.88,0.11,75.97,0.0,0.1,41.2,42.9,0.74,257.1,293.0,36,70.2,NIN
orange,Fruit,200,61.46,1.11,14.49,0.2,3.13,5.38,134.9,24.7,0.18,80.1,51.7,37,57.6,USDA
mushroom,Vegetable,100,22.71,3.12,3.07,0.32,1.08,1.2,58.1,14.4,0.63,194.2,451.1,63,39.1,NIN
zucchini,Vegetable,150,16.66,1.24,3.18,0.3,1.02,0.97,36.5,43.0,2.16,219.7,172.5,10,73.8,WHO
cauliflower,Vegetable,200,24.7,1.86,5.07,0.3,1.89,1.01,175.2,61.2,0.23,199.8,388.2,12,26.9,USDA
mango,Fruit,200,55.52,0.81,15.49,0.37,1.66,3.92,47.6,17.4,3.47,21.7,327.1,47,26.3,WHO
chicken,Protein,200,249.42,28.38,0.0,14.84,0.0,0.24,83.3,22.0,2.27,179.5,454.4,32,62.0,NIN
egg,Protein,150,72.35,5.85,0.61,4.9,0.0,0.4,82.2,24.0,0.82,163.7,182.5,38,32.4,IFCT
cauliflower,Vegetable,50,25.25,2.04,5.35,0.28,1.92,1.04,129.7,73.8,3.4,32.3,448.5,34,9.7,NIN
oats,Grain,200,395.41,18.02,62.71,7.29,10.98,22.35,96.4,69.6,1.4,287.3,58.4,34,92.5,USDA
almond,Nut,150,617.39,21.66,22.72,49.17,11.98,4.58,57.3,37.3,2.63,96.0,247.8,73,47.4,NIN
walnut,Nut,100,697.36,14.69,13.81,65.65,6.4,1.65,52.9,74.8,2.36,128.2,133.8,52,25.9,IFCT
cheese,Dairy,200,411.94,25.74,1.25,34.7,0.0,0.68,98.6,13.5,3.2,54.9,446.2,72,21.7,USDA
butter,Dairy,50,755.9,0.84,0.11,75.15,0.0,0.44,126.5,5.4,0.69,69.5,300.8,17,61.2,NIN
pasta,Grain,150,202.95,8.04,42.39,1.2,2.59,14.05,58.1,40.2,2.82,132.0,566.8,32,14.7,USDA
butter,Dairy,75,687.28,0.92,0.1,79.11,0.0,0.47,191.9,36.7,1.05,210.7,215.0,20,64.5,USDA
orange,Fruit,150,60.8,1.21,14.31,0.18,2.94,4.87,87.3,62.8,2.31,258.1,102.4,77,88.6,IFCT
kiwi,Fruit,200,60.76,1.02,13.7,0.53,3.19,5.19,7.5,74.3,1.33,288.6,372.9,60,89.5,WHO
peach,Fruit,200,37.38,0.95,9.33,0.32,1.46,4.43,28.9,79.1,2.92,152.7,585.9,16,13.9,IFCT
watermelon,Fruit,100,30.5,0.61,7.72,0.22,0.39,3.07,156.9,36.0,0.99,168.1,256.5,33,66.9,NIN
orange,Fruit,200,59.97,1.15,14.35,0.19,3.04,7.35,31.7,31.2,1.51,32.0,568.6,66,37.8,WHO
mango,Fruit,75,56.04,0.79,15.14,0.4,1.5,1.26,111.3,47.8,3.16,259.8,56.8,62,40.3,USDA
chickpeas,Legume,200,174.63,9.69,27.31,2.46,7.45,2.68,60.9,39.4,0.35,133.2,281.6,71,76.2,WHO
carrot,Vegetable,75,53.84,1.2,12.53,0.2,2.64,0.55,79.7,67.3,1.58,259.3,292.1,65,79.2,IFCT
lettuce,Vegetable,100,15.25,1.44,2.89,0.19,1.28,0.9,147.2,50.6,3.87,235.7,229.2,45,79.3,NIN
garlic,Vegetable,50,159.3,6.09,35.73,0.47,2.19,1.02,145.7,75.4,0.92,240.3,507.2,18,79.5,NIN
oats,Grain,150,366.54,16.46,63.39,6.61,10.47,15.24,90.4,47.8,2.37,162.6,557.9,63,54.5,WHO
tofu,Protein,200,77.14,8.53,1.78,4.61,0.31,0.61,122.9,45.1,2.62,195.8,581.7,52,92.9,NIN
mango,Fruit,50,56.15,0.76,15.59,0.4,1.65,2.38,75.4,37.0,2.75,208.7,132.9,13,48.9,WHO
peas,Vegetable,50,76.02,5.78,13.67,0.39,5.06,2.2,97.1,38.1,1.81,210.5,225.4,48,9.1,USDA
banana,Fruit,100,107.49,1.34,25.55,0.43,2.97,3.24,32.9,44.8,3.84,73.4,272.8,33,22.0,NIN
corn,Vegetable,50,89.27,3.5,18.85,1.19,1.84,2.84,56.4,56.3,3.2,175.3,489.7,78,22.0,WHO
cherry,Fruit,150,46.91,1.03,12.18,0.32,1.55,3.15,79.1,9.1,1.47,140.1,144.9,48,88.6,USDA
oats,Grain,75,377.37,16.29,61.95,6.86,9.99,15.69,119.7,46.0,1.75,148.6,345.6,32,55.5,NIN
spinach,Vegetable,75,21.85,3.06,3.67,0.42,2.36,1.3,39.8,30.7,2.29,197.7,275.0,72,42.8,NIN
cheese,Dairy,75,375.16,23.12,1.35,31.9,0.0,0.65,34.5,36.6,3.0,230.9,352.3,24,57.1,WHO
olive_oil,Oil,200,929.73,0.0,0.0,92.67,0.0,0.23,198.0,8.2,3.34,226.6,213.7,14,45.9,WHO
orange,Fruit,150,65.62,1.13,16.17,0.19,3.22,6.52,172.3,48.8,1.77,186.8,481.7,36,78.3,WHO
cream,Dairy,100,345.27,1.99,3.01,34.81,0.0,1.62,103.4,72.0,3.28,45.0,462.6,62,88.6,WHO
rice,Grain,75,212.64,4.05,42.45,0.39,0.58,22.85,79.1,11.4,2.57,190.2,256.3,19,62.7,USDA
corn,Vegetable,200,89.44,3.4,20.15,1.19,2.0,6.84,173.9,67.8,0.46,291.8,399.2,55,82.4,NIN
kiwi,Fruit,150,64.17,1.1,14.28,0.48,3.02,1.59,170.6,63.1,3.59,229.9,75.3,90,76.3,NIN
banana,Fruit,50,112.21,1.23,26.81,0.43,3.06,16.13,182.0,70.6,1.28,263.0,532.1,21,64.6,WHO
orange,Fruit,100,63.63,1.23,14.3,0.2,3.21,7.1,86.4,7.3,0.47,68.0,92.9,85,25.6,NIN
apple,Fruit,50,97.97,0.53,27.06,0.3,4.14,1.53,77.2,58.5,0.5,97.4,534.5,27,39.8,IFCT
rice,Grain,75,191.77,4.34,45.79,0.38,0.59,6.15,149.9,73.6,2.5,135.5,169.5,22,17.7,USDA
beef,Protein,150,244.06,25.71,0.0,16.31,0.0,0.38,120.6,57.7,1.21,282.7,64.8,48,23.7,IFCT
almond,Nut,150,560.06,19.5,23.4,53.64,12.49,1.93,100.4,47.5,2.16,293.4,592.8,50,17.0,NIN
garlic,Vegetable,200,153.36,6.67,35.51,0.52,1.94,1.81,53.2,3.2,0.34,237.8,328.6,90,69.8,NIN
mushroom,Vegetable,150,20.53,3.12,3.36,0.29,0.97,1.26,41.4,64.6,2.19,120.3,398.9,18,33.2,NIN
chickpeas,Legume,75,152.4,8.4,26.72,2.58,7.73,5.36,148.6,59.3,0.57,213.8,435.8,30,50.2,WHO
butter,Dairy,200,749.46,0.93,0.09,76.17,0.0,0.38,177.4,61.7,0.21,243.1,199.6,18,28.9,USDA
cheese,Dairy,150,402.69,23.22,1.37,31.24,0.0,0.72,179.0,53.9,0.55,223.5,51.4,11,27.3,NIN
garlic,Vegetable,150,159.02,6.07,35.54,0.46,2.2,14.32,131.5,18.0,1.07,275.2,226.0,19,57.0,USDA
yogurt,Dairy,50,94.87,17.83,6.46,0.75,0.0,1.94,57.2,67.6,1.38,168.2,54.4,35,31.5,WHO
almond,Nut,200,555.15,20.56,23.66,53.98,13.05,9.8,109.8,63.7,0.69,280.1,63.2,79,36.5,USDA
bell_pepper,Vegetable,50,32.28,0.98,6.23,0.29,2.0,3.55,84.5,76.9,3.89,47.0,203.9,15,88.8,NIN
tofu,Protein,100,75.49,8.32,1.92,4.8,0.31,0.75,118.8,5.0,2.68,43.6,210.4,50,89.3,NIN
tofu,Protein,100,73.79,7.71,1.77,4.57,0.31,0.87,31.9,13.1,1.92,124.9,344.8,36,46.1,NIN
carrot,Vegetable,50,48.59,1.26,11.91,0.21,2.85,1.98,171.5,11.9,2.87,290.7,267.9,16,66.6,WHO
pear,Fruit,50,61.12,0.42,15.34,0.1,2.9,1.38,159.0,9.7,0.34,235.4,172.3,35,80.0,WHO
oats,Grain,50,394.12,16.34,69.3,6.46,9.86,35.79,89.2,10.3,3.63,249.7,232.4,15,90.7,USDA
peach,Fruit,200,38.58,0.93,9.49,0.29,1.48,2.34,181.8,22.0,1.84,48.8,387.8,88,27.4,WHO
cheese,Dairy,150,426.62,24.92,1.21,32.38,0.0,0.68,159.6,19.9,3.98,165.4,60.7,58,76.2,WHO
milk,Dairy,200,155.71,7.8,12.13,7.77,0.0,0.67,119.8,2.3,3.26,87.9,494.8,70,53.2,IFCT
peach,Fruit,50,37.43,0.86,9.55,0.31,1.56,4.47,189.6,46.1,3.93,119.6,564.4,32,21.0,WHO
almond,Nut,100,617.35,19.41,22.71,53.58,12.63,7.65,38.5,79.0,3.54,150.2,220.0,72,8.5,USDA
avocado,Fruit,200,152.8,2.01,8.28,16.0,6.67,1.14,143.7,73.5,3.39,100.5,62.1,85,69.1,IFCT
olive_oil,Oil,50,933.01,0.0,0.0,97.98,0.0,0.3,21.1,24.1,0.63,51.5,571.8,72,64.1,IFCT
lentils,Legume,200,119.59,9.62,20.92,0.38,8.11,2.52,62.1,55.1,0.6,220.0,571.8,83,40.6,USDA
pear,Fruit,200,55.34,0.42,15.47,0.1,2.9,4.78,66.9,6.2,1.45,99.3,399.9,21,79.8,WHO
zucchini,Vegetable,50,16.36,1.15,2.89,0.29,0.94,0.5,77.8,58.6,3.88,265.9,321.2,58,37.0,NIN
mango,Fruit,150,62.77,0.81,15.62,0.38,1.59,7.29,7.6,1.6,1.12,35.9,238.0,58,19.6,USDA
egg,Protein,50,75.98,6.47,0.64,5.16,0.0,0.41,121.9,34.7,0.31,102.7,585.9,62,68.4,WHO
pasta,Grain,100,212.87,7.48,42.26,1.31,2.5,1.88,1.8,7.0,3.31,189.4,314.2,22,7.3,IFCT
bread,Grain,100,285.23,8.96,45.99,3.35,2.69,26.36,53.7,51.3,1.61,114.5,259.8,33,45.6,WHO
zucchini,Vegetable,150,16.36,1.26,3.13,0.28,1.03,0.63,134.0,64.7,1.71,228.2,175.1,17,81.5,NIN
cream,Dairy,150,343.96,2.01,2.71,35.39,0.0,0.54,114.7,41.3,2.33,294.9,131.1,67,20.7,IFCT
kiwi,Fruit,75,57.35,1.09,15.85,0.49,3.24,5.72,167.0,20.6,3.65,274.7,86.9,59,55.6,WHO
broccoli,Vegetable,200,54.63,3.92,11.71,0.61,5.12,3.11,83.5,11.9,2.39,228.7,566.8,23,56.2,USDA
spinach,Vegetable,200,24.4,3.08,3.46,0.41,2.23,1.29,35.3,32.2,2.51,205.8,270.9,60,86.0,WHO
tofu,Protein,75,70.52,7.97,1.83,4.7,0.29,1.01,62.9,67.4,3.45,207.0,584.9,39,17.2,NIN
olive_oil,Oil,100,851.39,0.0,0.0,95.01,0.0,0.09,148.4,60.8,3.48,247.2,333.4,30,11.0,NIN
lemon,Fruit,200,30.76,1.02,8.84,0.32,2.95,1.77,91.8,73.4,2.85,85.8,502.9,74,41.1,USDA
oats,Grain,50,372.94,16.97,65.43,7.52,10.56,22.06,69.5,67.0,1.11,250.1,99.7,13,40.2,IFCT
chicken,Protein,75,252.66,27.64,0.0,13.48,0.0,0.49,156.3,61.4,0.13,273.9,406.1,86,77.9,IFCT
