session_id,scan_date,scan_time,user_city,total_items,fresh_count,moderate_count,spoiled_count,total_calories,total_protein_g,avg_freshness_pct,scan_duration_sec,items_discarded,recipe_suggested,fridge_temp_c,fridge_humidity,device_type
60,2025-12-08,18:51,Hyderabad,8,1,1,6,1646.0,12.9,87.7,2.58,2,False,6.1,64.8,fridge_cam
61,2025-06-04,13:39,Delhi,3,2,0,1,1834.0,64.4,62.3,0.83,0,True,4.0,84.5,webcam
62,2025-11-14,22:04,Kolkata,3,3,0,0,724.7,104.6,52.2,2.74,0,True,1.7,81.6,phone_camera
63,2025-01-14,21:03,Hyderabad,12,4,2,6,1944.3,47.7,58.9,3.93,4,True,3.0,78.7,fridge_cam
64,2025-08-23,16:44,Bangalore,12,10,1,1,518.0,119.8,22.5,0.71,0,False,1.5,82.5,uploaded
65,2025-10-18,19:11,Kolkata,4,3,1,0,474.2,44.1,42.8,3.75,0,False,5.5,58.5,fridge_cam
66,2025-03-12,08:38,Hyderabad,12,5,3,4,268.2,11.1,84.6,3.33,1,True,2.8,76.8,phone_camera
67,2025-12-25,21:03,Hyderabad,5,3,1,1,789.3,43.7,70.9,1.98,0,True,5.3,81.0,fridge_cam
68,2025-05-18,11:05,Mumbai,7,3,2,2,1140.7,10.5,29.1,2.77,1,False,3.8,64.7,webcam
69,2025-10-18,17:23,Kolkata,8,1,3,4,1957.3,27.3,90.1,2.15,0,True,5.3,63.5,uploaded
70,2025-06-05,13:09,Delhi,8,2,6,0,622.5,86.9,27.2,1.22,0,False,6.5,86.0,fridge_cam
71,2025-08-07,13:23,Chennai,9,2,0,7,222.2,88.0,84.3,1.64,5,True,8.0,65.7,phone_camera
72,2025-08-28,11:33,Bangalore,12,4,0,8,536.9,90.8,59.1,3.12,3,False,1.2,70.0,phone_camera
73,2025-12-07,18:01,Hyderabad,8,8,0,0,308.9,48.7,30.0,2.87,0,True,6.3,87.8,webcam
74,2025-01-03,08:23,Mumbai,9,7,1,1,1730.2,80.0,53.7,0.59,0,False,6.4,84.0,fridge_cam
75,2025-07-28,22:44,Pune,10,7,2,1,958.6,91.0,26.7,3.96,1,True,4.7,85.2,fridge_cam
76,2025-09-19,08:51,Mumbai,6,4,0,2,1468.0,82.0,78.2,3.95,2,False,6.6,66.6,fridge_cam
77,2025-07-09,15:21,Chennai,6,6,0,0,485.4,46.0,48.8,3.79,0,True,4.8,85.7,phone_camera
78,2025-11-09,10:37,Hyderabad,7,6,1,0,1437.0,52.5,35.7,0.7,0,False,1.3,80.5,phone_camera
79,2025-06-03,07:24,Pune,12,9,2,1,1728.0,32.0,74.0,2.66,0,False,2.0,75.4,uploaded
80,2025-08-17,17:44,Bangalore,3,2,0,1,1631.0,21.6,24.3,1.98,0,True,3.5,75.9,uploaded
81,2025-11-19,18:39,Delhi,5,2,0,3,332.0,33.6,32.6,2.35,0,False,6.3,73.4,webcam
82,2025-05-20,11:58,Mumbai,3,3,0,0,1467.2,12.8,78.5,1.95,0,False,7.9,78.2,fridge_cam
83,2025-08-05,09:53,Mumbai,7,4,1,2,512.8,104.5,73.5,2.23,1,False,2.5,74.6,phone_camera
84,2025-11-17,07:51,Delhi,4,4,0,0,619.3,108.1,72.4,0.66,0,False,3.3,82.0,fridge_cam
85,2025-02-18,07:04,Kolkata,5,0,4,1,1146.1,92.2,40.9,1.08,0,True,1.7,60.6,uploaded
86,2025-07-01,12:03,Mumbai,8,7,1,0,1434.9,21.8,25.4,2.35,0,True,3.2,79.6,phone_camera
87,2025-09-18,08:55,Chennai,10,5,4,1,1159.5,77.2,32.5,1.95,0,False,1.8,67.0,uploaded
88,2025-09-19,09:00,Hyderabad,5,3,0,2,819.4,20.7,23.2,3.91,0,False,5.2,84.4,fridge_cam
89,2025-11-06,10:12,Hyderabad,4,1,3,0,1374.2,18.3,69.7,3.84,0,True,7.0,77.8,webcam
90,2025-02-28,14:24,Hyderabad,12,4,0,8,897.5,105.2,37.7,1.91,7,False,2.0,72.2,webcam
91,2025-12-23,06:27,Pune,7,5,0,2,1716.5,32.5,71.4,3.6,0,True,7.7,67.7,webcam
92,2025-03-11,08:02,Delhi,9,2,6,1,1717.5,73.4,48.3,0.92,0,True,7.1,67.7,webcam
93,2025-04-22,10:01,Hyderabad,8,1,3,4,912.5,32.3,84.9,3.77,1,False,7.8,71.7,webcam
94,2025-11-22,19:26,Delhi,6,2,4,0,629.9,72.0,36.7,1.84,0,False,2.9,62.7,webcam
95,2025-12-01,06:50,Hyderabad,12,5,0,7,737.2,53.1,71.1,2.21,0,True,6.0,70.1,phone_camera
96,2025-06-01,06:14,Hyderabad,4,2,1,1,660.2,79.6,93.9,3.54,1,False,3.7,81.0,phone_camera
97,2025-11-20,06:08,Mumbai,3,0,0,3,504.5,20.4,93.3,0.87,0,False,6.2,84.5,webcam
98,2025-08-11,09:58,Pune,10,5,0,5,1241.1,27.8,81.1,2.12,5,False,6.6,64.8,webcam
99,2025-11-21,22:40,Delhi,9,2,2,5,1984.9,90.7,70.5,1.71,4,False,6.5,60.8,phone_camera
100,2025-02-01,13:24,Kolkata,3,2,1,0,1412.5,35.0,56.6,3.13,0,False,3.0,60.0,uploaded
101,2025-05-11,12:04,Kolkata,4,4,0,0,733.9,73.9,46.6,3.85,0,True,2.0,76.6,webcam
102,2025-05-16,12:20,Bangalore,9,9,0,0,1840.3,38.0,80.9,2.91,0,True,3.9,58.2,webcam
103,2025-05-11,07:41,Hyderabad,12,8,1,3,409.6,88.1,69.9,2.05,1,True,3.9,70.4,webcam
104,2025-01-06,11:23,Mumbai,10,0,6,4,804.1,109.9,35.2,2.8,1,False,6.2,70.8,phone_camera
105,2025-10-12,15:59,Chennai,5,4,0,1,1085.2,39.2,22.4,1.86,1,True,3.5,74.2,phone_camera
106,2025-04-20,12:13,Kolkata,11,1,7,3,1726.1,91.7,66.4,3.66,0,True,6.6,69.8,fridge_cam
107,2025-01-26,18:18,Bangalore,9,1,2,6,700.0,55.0,90.7,2.18,2,False,4.9,67.4,phone_camera
108,2025-05-12,07:47,Pune,8,0,8,0,340.0,105.4,86.4,1.57,0,False,4.3,55.5,phone_camera
109,2025-01-05,22:22,Pune,11,6,0,5,802.9,101.6,38.8,2.35,1,False,5.8,59.9,phone_camera
110,2025-06-27,09:34,Kolkata,5,5,0,0,1936.1,104.7,62.2,3.49,0,False,2.3,85.0,webcam
111,2025-07-16,13:56,Chennai,8,3,0,5,1521.1,69.5,80.9,1.29,4,False,1.1,80.8,uploaded
112,2025-03-23,08:37,Kolkata,10,6,4,0,1364.0,90.8,44.6,3.46,0,False,1.2,67.4,uploaded
113,2025-12-09,06:54,Bangalore,7,4,2,1,1264.0,118.7,28.7,1.58,1,False,4.3,74.3,fridge_cam
114,2025-12-21,16:47,Kolkata,6,0,6,0,870.8,64.5,65.6,2.6,0,True,4.9,61.3,uploaded
115,2025-08-07,11:16,Mumbai,6,1,5,0,1080.2,14.7,70.7,2.72,0,True,3.3,69.2,fridge_cam
116,2025-11-08,15:12,Chennai,4,2,0,2,1807.0,53.7,68.9,1.31,2,False,3.7,79.3,webcam
117,2025-12-21,08:37,Chennai,9,0,5,4,1047.4,10.8,71.1,1.15,1,False,6.2,70.5,phone_camera
118,2025-02-07,08:33,Delhi,10,3,0,7,547.0,18.3,45.8,2.86,1,False,6.2,60.0,webcam
119,2025-08-13,11:01,Bangalore,4,0,2,2,569.0,60.7,56.1,3.27,0,False,3.2,64.8,fridge_cam
120,2025-08-07,08:41,Chennai,8,6,1,1,1601.2,66.3,44.5,1.12,1,True,4.3,80.4,webcam
121,2025-04-18,12:02,Chennai,11,10,1,0,736.8,83.5,55.5,3.08,0,False,3.6,70.2,webcam
122,2025-11-20,07:48,Pune,7,1,4,2,433.7,41.3,50.2,3.0,2,True,4.0,71.4,fridge_cam
123,2025-08-07,19:53,Mumbai,9,0,8,1,340.7,72.0,71.7,2.31,0,False,7.4,81.7,phone_camera
124,2025-05-11,06:41,Mumbai,11,11,0,0,205.9,108.8,59.3,3.08,0,True,5.6,69.1,uploaded
125,2025-03-24,21:12,Hyderabad,9,4,4,1,1442.8,54.8,80.7,1.21,0,False,5.5,86.1,phone_camera
126,2025-09-03,17:22,Mumbai,10,8,0,2,1386.5,30.4,71.6,2.37,0,True,1.6,68.9,webcam
127,2025-04-17,15:04,Pune,9,0,3,6,1052.4,67.3,50.3,1.04,3,False,5.2,55.5,phone_camera
128,2025-09-03,06:21,Pune,9,4,4,1,254.5,74.6,51.3,2.38,0,True,4.1,77.2,fridge_cam
129,2025-09-05,11:50,Bangalore,12,3,0,9,1363.2,66.9,40.5,2.5,3,False,2.7,82.1,phone_camera
130,2025-01-15,11:40,Delhi,6,6,0,0,1665.6,55.6,84.5,0.8,0,True,2.6,56.8,uploaded
131,2025-02-22,14:24,Bangalore,10,8,0,2,267.3,19.3,72.8,0.77,0,True,2.8,70.3,phone_camera
132,2025-03-10,20:19,Hyderabad,3,1,1,1,793.5,30.4,81.2,2.41,1,True,4.4,62.7,phone_camera
133,2025-01-23,19:48,Mumbai,10,7,3,0,1300.2,81.5,44.9,0.73,0,False,4.9,85.1,webcam
134,2025-05-03,19:37,Hyderabad,9,5,3,1,651.8,34.1,86.6,1.92,0,True,4.3,84.2,fridge_cam
135,2025-05-12,13:21,Bangalore,9,1,8,0,1015.2,88.6,86.7,1.77,0,False,7.8,72.7,uploaded
136,2025-08-10,15:34,Hyderabad,4,4,0,0,1827.1,30.9,66.5,3.96,0,False,1.9,64.3,webcam
137,2025-08-21,07:09,Chennai,5,2,3,0,1975.0,99.3,33.0,1.67,0,False,6.3,80.3,phone_camera
138,2025-03-19,15:00,Mumbai,10,6,1,3,1701.3,65.9,81.5,3.85,2,True,4.4,58.2,phone_camera
139,2025-09-24,18:20,Delhi,9,9,0,0,1745.5,11.7,51.0,3.49,0,True,7.1,84.7,phone_camera
140,2025-11-03,13:08,Hyderabad,12,12,0,0,747.2,28.3,55.3,1.78,0,True,3.5,56.5,uploaded
141,2025-06-11,21:19,Hyderabad,8,7,1,0,880.4,79.8,61.6,3.9,0,True,6.5,68.8,fridge_cam
142,2025-09-23,15:07,Chennai,8,7,0,1,1230.0,10.7,22.2,2.01,1,True,3.9,89.1,webcam
143,2025-08-13,18:01,Kolkata,8,3,0,5,1447.2,42.3,72.0,1.82,3,True,4.6,65.3,phone_camera
144,2025-06-15,16:54,Kolkata,9,9,0,0,851.5,53.3,21.3,2.45,0,True,3.9,68.0,phone_camera
145,2025-11-10,19:37,Bangalore,11,8,1,2,878.9,15.5,72.8,3.49,2,True,4.6,81.5,webcam
146,2025-11-01,12:26,Mumbai,7,1,2,4,1887.8,67.9,39.5,0.87,3,True,7.4,85.8,uploaded
147,2025-03-21,12:56,Chennai,12,0,2,10,1281.2,85.7,42.1,3.8,1,True,1.6,61.9,fridge_cam
148,2025-01-16,11:21,Bangalore,8,7,0,1,897.3,103.7,76.7,2.2,0,True,3.7,62.3,uploaded
149,2025-08-23,08:41,Pune,8,7,0,1,866.5,116.1,23.9,0.85,1,False,4.2,88.4,uploaded
150,2025-12-05,10:17,Kolkata,12,5,3,4,1282.7,62.7,55.1,2.56,3,False,3.3,70.8,webcam
151,2025-05-11,14:42,Chennai,5,0,4,1,1860.6,69.2,66.8,2.91,1,True,4.9,80.8,phone_camera
152,2025-07-19,14:07,Mumbai,9,9,0,0,1415.2,52.6,40.2,2.41,0,False,5.2,55.3,uploaded
153,2025-10-03,15:07,Hyderabad,11,6,1,4,1446.9,45.6,22.9,3.04,4,False,5.3,79.0,fridge_cam
154,2025-03-15,07:28,Mumbai,7,7,0,0,852.1,40.0,74.5,2.18,0,True,1.4,66.7,uploaded
155,2025-05-02,20:20,Chennai,5,4,1,0,1769.8,37.0,29.3,1.38,0,True,4.1,60.9,webcam
156,2025-09-20,09:43,Chennai,6,2,3,1,1207.7,81.1,60.1,2.18,0,False,3.5,58.7,phone_camera
157,2025-06-13,20:53,Hyderabad,12,10,0,2,1874.6,120.0,55.9,3.2,2,False,6.7,58.2,uploaded
158,2025-07-06,19:26,Pune,10,1,8,1,991.4,94.2,59.6,0.75,0,True,6.4,68.7,webcam
159,2025-03-24,19:08,Delhi,6,0,1,5,1432.7,77.6,51.6,0.6,2,False,3.8,83.3,fridge_cam
160,2025-01-25,16:14,Bangalore,12,7,3,2,734.5,116.0,80.2,3.36,2,False,3.0,59.6,uploaded
161,2025-09-21,07:54,Chennai,9,2,0,7,1461.1,105.0,66.2,3.64,2,True,7.4,82.6,phone_camera
162,2025-07-11,06:18,Pune,3,2,0,1,838.8,67.7,66.4,2.6,0,True,5.2,85.7,phone_camera
163,2025-05-01,14:57,Chennai,4,2,0,2,1870.1,80.1,44.5,2.91,2,True,4.2,73.1,webcam
164,2025-12-27,12:51,Mumbai,5,3,1,1,607.2,101.2,52.7,3.45,1,True,1.1,74.3,fridge_cam
165,2025-07-03,19:55,Kolkata,8,7,1,0,1491.1,113.9,86.3,3.44,0,True,6.1,64.8,webcam
166,2025-05-03,21:56,Mumbai,6,0,4,2,1403.1,80.2,47.6,0.99,1,False,3.6,86.3,fridge_cam
167,2025-03-27,07:14,Kolkata,7,6,0,1,1566.8,40.8,93.4,2.09,0,False,2.8,78.6,webcam
168,2025-12-17,09:57,Delhi,12,12,0,0,1423.4,101.0,93.7,1.69,0,True,3.4,80.0,uploaded
169,2025-12-21,06:31,Pune,5,4,1,0,1981.5,19.3,76.9,3.24,0,False,6.6,84.6,phone_camera
170,2025-11-09,08:32,Kolkata,7,0,7,0,1523.4,12.0,72.4,2.37,0,False,1.4,67.1,fridge_cam
171,2025-02-05,07:25,Hyderabad,7,6,1,0,241.6,79.0,52.3,0.83,0,False,2.5,70.4,fridge_cam
172,2025-04-04,16:34,Delhi,6,6,0,0,881.5,35.1,77.3,3.24,0,True,4.8,79.1,fridge_cam
173,2025-12-25,12:06,Hyderabad,3,0,1,2,838.9,111.7,91.7,2.46,0,True,7.2,67.0,phone_camera
174,2025-04-25,14:40,Pune,12,0,0,12,1574.4,33.0,34.0,2.68,6,True,1.2,66.6,fridge_cam
175,2025-03-17,15:38,Bangalore,8,5,3,0,868.6,97.6,75.0,2.05,0,True,5.2,76.1,fridge_cam
176,2025-10-22,17:05,Hyderabad,6,0,0,6,1108.3,48.9,53.4,2.04,1,True,5.8,74.8,uploaded
177,2025-10-15,22:12,Chennai,5,5,0,0,1427.8,17.8,65.2,2.01,0,False,3.8,82.8,webcam
178,2025-07-06,16:43,Pune,10,4,2,4,878.9,61.5,87.2,3.69,3,True,7.6,83.3,uploaded
179,2025-06-02,07:42,Mumbai,8,8,0,0,262.2,47.6,93.6,3.67,0,False,3.8,86.3,webcam
180,2025-10-01,18:52,Delhi,10,4,1,5,1855.3,37.7,94.7,1.17,1,True,2.0,77.0,fridge_cam
181,2025-04-21,09:36,Bangalore,7,0,7,0,345.3,69.6,66.8,2.85,0,True,2.3,81.5,uploaded
182,2025-12-13,14:59,Mumbai,10,2,1,7,1807.8,19.1,67.9,3.94,6,False,2.9,57.3,webcam
183,2025-06-06,20:21,Bangalore,10,9,0,1,860.0,118.8,73.0,2.4,0,True,1.1,55.2,uploaded
184,2025-03-03,16:10,Hyderabad,4,4,0,0,1882.8,16.5,91.6,1.53,0,False,6.0,64.4,webcam
185,2025-05-05,13:06,Bangalore,11,6,0,5,1083.3,33.3,83.8,1.55,5,False,7.9,71.6,webcam
186,2025-01-14,20:41,Mumbai,9,0,6,3,1084.6,59.8,59.9,2.66,0,False,1.9,59.1,webcam
187,2025-09-22,14:30,Hyderabad,10,2,0,8,1657.9,101.5,74.0,3.04,1,False,1.4,67.1,uploaded
188,2025-12-11,17:29,Kolkata,7,7,0,0,856.4,75.2,86.5,3.32,0,False,5.4,85.5,fridge_cam
189,2025-08-20,08:53,Chennai,12,12,0,0,1673.0,93.7,73.7,2.54,0,False,4.7,73.9,uploaded
190,2025-01-18,06:18,Delhi,8,2,1,5,1710.9,31.3,85.8,0.59,4,True,1.2,71.2,webcam
191,2025-07-25,20:22,Delhi,3,0,1,2,671.4,48.2,80.9,3.22,1,False,6.5,58.1,uploaded
192,2025-06-03,09:30,Kolkata,6,4,0,2,1673.5,100.2,67.6,0.68,1,True,1.6,83.1,phone_camera
193,2025-04-28,06:34,Kolkata,9,3,5,1,1832.4,96.1,76.2,1.4,0,False,7.2,57.8,phone_camera
194,2025-05-10,13:03,Bangalore,8,8,0,0,1966.8,85.0,78.4,3.73,0,True,1.7,70.6,uploaded
195,2025-10-17,09:54,Pune,11,1,0,10,1769.7,119.9,87.5,3.91,5,True,1.6,60.3,uploaded
196,2025-02-03,06:28,Kolkata,10,3,7,0,211.8,53.4,50.8,2.76,0,False,7.9,84.1,webcam
197,2025-06-28,15:27,Hyderabad,7,7,0,0,1224.7,31.1,55.0,3.92,0,True,3.2,70.5,uploaded
198,2025-11-23,21:45,Bangalore,11,9,2,0,1660.2,34.3,82.2,1.81,0,False,1.2,80.4,phone_camera
199,2025-05-22,06:56,Hyderabad,10,0,1,9,835.3,81.1,24.6,2.04,1,False,5.5,81.9,uploaded
200,2025-01-21,15:31,Bangalore,6,1,1,4,471.7,89.0,51.4,2.96,2,False,5.8,77.0,phone_camera
201,2025-02-13,10:59,Kolkata,6,6,0,0,1978.5,99.8,71.3,3.68,0,False,2.3,80.7,webcam
202,2025-01-22,12:01,Hyderabad,8,6,1,1,1163.3,48.6,26.3,2.33,1,True,2.9,74.9,uploaded
203,2025-09-02,22:31,Bangalore,6,2,3,1,1308.0,111.1,92.4,1.37,1,True,3.1,79.5,webcam
204,2025-03-04,21:47,Delhi,9,7,1,1,634.5,77.9,41.5,1.55,0,True,3.7,63.3,fridge_cam
205,2025-10-24,11:37,Kolkata,11,7,0,4,804.1,56.3,32.7,2.98,0,False,3.4,73.4,phone_camera
206,2025-08-07,13:06,Kolkata,9,2,7,0,1864.4,47.1,27.2,2.85,0,False,7.9,62.8,webcam
207,2025-08-28,14:16,Bangalore,7,1,4,2,965.6,88.7,83.7,0.95,1,False,4.6,66.6,webcam
208,2025-02-16,17:04,Bangalore,9,9,0,0,387.8,50.9,69.3,2.7,0,False,2.8,70.9,fridge_cam
209,2025-08-09,16:45,Hyderabad,3,0,2,1,1919.0,63.3,51.5,2.37,1,True,2.6,78.3,webcam
210,2025-01-16,13:12,Delhi,5,3,1,1,1292.0,69.5,67.8,3.56,0,False,3.5,65.0,webcam
211,2025-06-26,13:19,Chennai,9,0,3,6,1077.0,87.0,46.5,1.93,6,False,1.7,77.6,webcam
212,2025-11-25,20:55,Mumbai,3,0,2,1,1222.7,82.7,86.5,2.7,0,False,4.6,64.9,webcam
213,2025-08-03,10:56,Bangalore,4,1,3,0,1963.4,86.7,88.6,1.85,0,True,6.8,76.1,webcam
214,2025-08-19,14:00,Hyderabad,10,4,2,4,203.6,31.2,79.5,3.9,4,True,2.2,77.2,uploaded
215,2025-10-25,18:20,Hyderabad,7,1,4,2,1547.9,13.6,72.1,1.36,1,False,3.3,83.7,fridge_cam
216,2025-09-01,11:15,Hyderabad,11,7,1,3,1781.4,45.2,33.4,1.95,0,True,3.6,74.0,webcam
217,2025-01-23,13:00,Chennai,11,8,0,3,797.9,31.5,60.4,2.41,3,False,5.4,82.5,phone_camera
218,2025-08-03,07:54,Hyderabad,3,1,0,2,312.5,94.0,62.8,1.1,0,True,7.1,75.7,uploaded
219,2025-06-09,08:22,Kolkata,9,2,1,6,1960.2,17.5,63.4,2.46,3,True,6.9,78.8,phone_camera
220,2025-12-20,15:54,Kolkata,10,2,2,6,1877.9,82.8,50.7,1.66,6,True,3.1,60.9,uploaded
221,2025-11-27,21:41,Pune,6,4,2,0,684.8,45.6,65.7,0.69,0,True,7.6,67.6,fridge_cam
222,2025-11-08,14:25,Pune,10,2,8,0,588.0,66.7,65.7,3.61,0,True,3.5,88.6,uploaded
223,2025-12-21,10:37,Bangalore,8,3,0,5,355.3,89.2,65.1,3.15,5,False,1.5,71.4,fridge_cam
224,2025-03-15,22:39,Pune,5,5,0,0,1515.1,20.5,44.6,1.42,0,True,4.9,76.6,webcam
225,2025-09-09,16:50,Hyderabad,10,10,0,0,741.5,91.3,40.3,1.4,0,True,3.9,74.3,uploaded
226,2025-08-22,11:01,Kolkata,8,8,0,0,300.4,80.2,21.7,2.1,0,True,5.0,72.4,phone_camera
227,2025-11-05,10:21,Delhi,8,7,1,0,1990.0,109.5,77.0,3.56,0,True,5.9,74.2,uploaded
