waste_id,food_name,category,month,year,wasted_grams,wasted_calories,wasted_cost_inr,co2_kg,waste_reason,household_size,income_bracket,city,had_smart_fridge,prevented_by_ai
39,cream,Dairy,Nov,2025,473,1608.2,176.69,1.786,expired,6,medium,Pune,False,True
40,almond,Nut,Dec,2024,96,555.8,33.61,0.27,improper_storage,6,low,Bangalore,True,False
41,watermelon,Fruit,Jan,2025,281,84.3,53.48,0.795,power_cut,3,medium,Kolkata,True,False
42,tofu,Protein,May,2025,75,57.0,3.34,0.317,over_purchased,4,medium,Bangalore,False,True
43,tofu,Protein,Dec,2024,197,149.7,60.52,0.253,forgotten,2,high,Mumbai,True,True
44,kiwi,Fruit,Mar,2024,440,268.4,22.66,0.72,not_preferred,1,low,Bangalore,True,True
45,lettuce,Vegetable,Dec,2024,329,49.4,75.25,0.969,quality_issue,4,high,Chennai,True,True
46,avocado,Fruit,Oct,2024,102,163.2,15.71,0.245,quality_issue,6,medium,Pune,False,False
47,salmon,Protein,Nov,2024,3,6.2,0.18,0.009,power_cut,5,low,Chennai,True,False
48,avocado,Fruit,Aug,2025,107,171.2,20.79,0.406,over_purchased,6,low,Pune,False,True
49,chickpeas,Legume,Feb,2024,479,785.6,98.11,0.812,quality_issue,2,high,Mumbai,True,True
50,peas,Vegetable,Sep,2024,296,239.8,55.16,0.523,forgotten,4,high,Mumbai,True,True
51,egg,Protein,Apr,2024,7,5.5,1.99,0.026,forgotten,2,medium,Pune,False,True
52,tofu,Protein,May,2025,207,157.3,11.58,0.762,expired,6,medium,Chennai,False,False
53,peas,Vegetable,Feb,2024,44,35.6,16.07,0.162,power_cut,6,low,Chennai,False,False
54,tofu,Protein,Oct,2024,489,371.6,124.96,0.81,forgotten,2,low,Chennai,False,False
55,lentils,Legume,Nov,2024,346,401.4,77.29,1.048,quality_issue,1,low,Kolkata,True,True
56,apple,Fruit,Mar,2025,246,233.7,21.79,0.245,not_preferred,3,high,Bangalore,True,True
57,orange,Fruit,Jan,2024,319,197.8,114.64,0.559,expired,3,medium,Delhi,True,False
58,tomato,Vegetable,May,2024,248,86.8,34.2,0.385,not_preferred,4,high,Delhi,False,False
59,almond,Nut,Sep,2024,255,1476.4,11.74,0.334,forgotten,1,low,Hyderabad,True,False
60,zucchini,Vegetable,May,2024,467,79.4,25.85,2.041,expired,6,high,Bangalore,True,True
61,lettuce,Vegetable,Mar,2025,460,69.0,29.24,1.585,not_preferred,2,medium,Chennai,False,False
62,kiwi,Fruit,Jul,2025,54,32.9,2.74,0.112,forgotten,3,low,Hyderabad,False,False
63,mushroom,Vegetable,Feb,2025,426,93.7,118.85,1.209,improper_storage,4,high,Hyderabad,False,True
64,chicken,Protein,May,2024,490,1171.1,90.31,1.814,expired,5,medium,Delhi,True,True
65,orange,Fruit,Dec,2024,352,218.2,136.36,0.616,expired,5,high,Mumbai,False,True
66,kiwi,Fruit,Jul,2024,24,14.6,4.16,0.018,improper_storage,3,low,Delhi,True,True
67,strawberry,Fruit,Jun,2025,158,77.4,40.34,0.357,expired,4,high,Chennai,False,True
68,yogurt,Dairy,Nov,2024,153,153.0,41.0,0.468,over_purchased,4,high,Chennai,False,True
69,grape,Fruit,Sep,2025,388,267.7,52.24,0.501,expired,5,high,Kolkata,False,False
70,lemon,Fruit,Sep,2025,197,57.1,22.26,0.212,quality_issue,3,low,Mumbai,True,True
71,cucumber,Vegetable,Feb,2024,282,45.1,76.5,1.227,quality_issue,2,medium,Pune,False,True
72,banana,Fruit,Mar,2024,72,75.6,8.52,0.094,power_cut,3,low,Bangalore,True,False
73,cauliflower,Vegetable,Jun,2025,158,39.5,43.86,0.598,not_preferred,1,high,Kolkata,True,True
74,yogurt,Dairy,Feb,2025,201,201.0,69.46,0.31,improper_storage,2,medium,Kolkata,False,True
75,lentils,Legume,Nov,2024,155,179.8,38.19,0.128,not_preferred,3,medium,Pune,False,False
76,chickpeas,Legume,Apr,2024,146,239.4,39.55,0.473,quality_issue,2,low,Delhi,True,True
77,strawberry,Fruit,Sep,2024,341,167.1,94.14,1.574,over_purchased,5,low,Delhi,False,True
78,bell_pepper,Vegetable,Mar,2025,1,0.3,0.35,0.002,power_cut,5,high,Chennai,False,False
79,tuna,Protein,May,2024,32,42.2,12.39,0.108,not_preferred,4,low,Mumbai,True,True
80,pear,Fruit,Dec,2025,416,237.1,164.76,1.327,forgotten,6,medium,Delhi,False,False
81,pasta,Grain,Nov,2024,30,66.0,10.4,0.135,expired,3,low,Hyderabad,False,False
82,oats,Grain,Oct,2025,345,1342.1,83.95,1.232,improper_storage,1,low,Kolkata,True,False
83,corn,Vegetable,Oct,2024,166,142.8,9.65,0.197,over_purchased,3,medium,Chennai,True,True
84,pineapple,Fruit,Sep,2024,373,186.5,47.81,1.39,power_cut,3,low,Chennai,False,False
85,zucchini,Vegetable,Nov,2024,403,68.5,23.34,1.423,improper_storage,1,high,Chennai,True,True
86,zucchini,Vegetable,Oct,2025,412,70.0,49.19,1.735,quality_issue,2,low,Chennai,False,False
87,avocado,Fruit,Aug,2025,333,532.8,103.77,1.43,not_preferred,2,low,Bangalore,False,True
88,cream,Dairy,Mar,2025,192,652.8,12.87,0.224,quality_issue,1,high,Pune,True,True
89,lemon,Fruit,Jun,2024,160,46.4,38.77,0.419,quality_issue,5,low,Delhi,True,True
90,pear,Fruit,Jan,2025,74,42.2,17.57,0.354,over_purchased,3,high,Bangalore,False,True
91,avocado,Fruit,Jan,2024,177,283.2,10.62,0.52,quality_issue,4,medium,Mumbai,True,False
92,beef,Protein,Feb,2025,71,177.5,25.03,0.258,over_purchased,6,low,Pune,False,False
93,cheese,Dairy,Nov,2025,239,960.8,64.65,1.116,improper_storage,5,high,Kolkata,True,True
94,apple,Fruit,Jun,2025,177,168.2,29.46,0.12,not_preferred,1,medium,Kolkata,False,True
95,almond,Nut,Oct,2025,378,2188.6,43.65,0.628,over_purchased,5,low,Delhi,True,False
96,butter,Dairy,Aug,2024,240,1720.8,33.19,0.321,quality_issue,1,medium,Pune,True,True
97,salmon,Protein,Feb,2024,10,20.8,1.14,0.004,power_cut,2,high,Chennai,True,False
98,pineapple,Fruit,Oct,2025,329,164.5,46.35,0.859,over_purchased,5,medium,Mumbai,True,False
99,kiwi,Fruit,Apr,2024,129,78.7,28.02,0.487,over_purchased,3,low,Delhi,False,False
100,bell_pepper,Vegetable,Apr,2024,456,141.4,73.5,1.836,forgotten,5,high,Hyderabad,True,False
101,orange,Fruit,Jun,2024,119,73.8,45.29,0.401,power_cut,4,low,Kolkata,True,False
102,cheese,Dairy,May,2024,62,249.2,8.92,0.084,over_purchased,5,medium,Bangalore,False,True
103,walnut,Nut,Sep,2025,466,3047.6,122.91,2.13,not_preferred,2,low,Mumbai,True,True
104,butter,Dairy,Jan,2025,114,817.4,35.66,0.437,improper_storage,5,medium,Mumbai,True,False
105,tofu,Protein,Sep,2025,149,113.2,6.04,0.311,over_purchased,5,low,Delhi,False,True
106,peach,Fruit,Sep,2024,120,46.8,35.62,0.176,expired,5,medium,Pune,False,True
107,cucumber,Vegetable,Nov,2024,382,61.1,107.81,0.281,forgotten,4,low,Bangalore,False,True
108,beef,Protein,Sep,2024,293,732.5,36.89,0.474,expired,6,low,Kolkata,True,False
109,walnut,Nut,May,2025,19,124.3,3.43,0.085,quality_issue,1,low,Mumbai,False,False
110,zucchini,Vegetable,Mar,2025,96,16.3,31.17,0.14,expired,3,medium,Kolkata,False,True
111,spinach,Vegetable,Nov,2025,322,74.1,75.12,1.461,expired,4,medium,Pune,True,True
112,almond,Nut,Nov,2024,230,1331.7,84.79,0.679,forgotten,5,medium,Bangalore,False,True
113,cream,Dairy,Feb,2024,324,1101.6,53.56,0.257,over_purchased,5,low,Kolkata,False,False
114,cucumber,Vegetable,Oct,2024,336,53.8,66.35,0.69,over_purchased,3,low,Bangalore,False,True
115,avocado,Fruit,May,2024,243,388.8,82.07,0.984,improper_storage,3,low,Bangalore,True,True
116,mango,Fruit,Nov,2024,149,89.4,26.2,0.082,expired,5,medium,Hyderabad,True,True
117,carrot,Vegetable,Apr,2024,87,45.2,27.44,0.388,improper_storage,2,low,Chennai,True,False
118,onion,Vegetable,Aug,2025,352,140.8,52.21,1.756,over_purchased,6,medium,Hyderabad,True,False
119,corn,Vegetable,Jul,2024,251,215.9,28.69,1.191,expired,5,low,Delhi,True,True
120,yogurt,Dairy,Oct,2024,303,303.0,60.22,0.489,expired,6,high,Mumbai,False,False
121,broccoli,Vegetable,Jun,2024,243,133.7,79.68,0.758,forgotten,5,high,Kolkata,False,False
122,peach,Fruit,Dec,2025,409,159.5,28.19,0.747,forgotten,2,medium,Bangalore,True,True
123,peas,Vegetable,Feb,2024,376,304.6,77.73,0.272,improper_storage,4,medium,Bangalore,True,True
124,blueberry,Fruit,Aug,2025,61,34.8,17.67,0.203,quality_issue,5,medium,Kolkata,True,False
125,carrot,Vegetable,May,2025,249,129.5,51.61,0.283,not_preferred,2,low,Bangalore,False,False
126,salmon,Protein,Mar,2025,51,106.1,14.66,0.048,improper_storage,2,high,Bangalore,True,False
127,avocado,Fruit,Mar,2024,19,30.4,0.84,0.047,power_cut,6,low,Pune,True,False
128,milk,Dairy,Jun,2025,256,381.4,54.15,0.323,quality_issue,2,high,Mumbai,True,True
129,yogurt,Dairy,Dec,2025,486,486.0,96.19,2.197,expired,2,medium,Pune,False,False
130,avocado,Fruit,Jun,2025,168,268.8,51.03,0.143,expired,2,medium,Delhi,False,False
131,apple,Fruit,May,2025,18,17.1,4.67,0.043,quality_issue,6,high,Mumbai,True,False
132,olive_oil,Oil,Jul,2024,478,4225.5,164.42,0.366,not_preferred,6,high,Hyderabad,True,False
133,chicken,Protein,Jul,2024,454,1085.1,161.3,1.351,power_cut,6,medium,Pune,False,False
134,zucchini,Vegetable,Apr,2025,423,71.9,79.63,1.366,improper_storage,2,medium,Mumbai,False,True
135,banana,Fruit,May,2024,404,424.2,132.01,0.807,expired,6,high,Delhi,True,True
136,yogurt,Dairy,Feb,2025,118,118.0,37.63,0.354,expired,3,low,Kolkata,True,True
137,rice,Grain,Nov,2025,240,494.4,60.24,1.183,improper_storage,1,high,Mumbai,False,False
138,lentils,Legume,Sep,2024,35,40.6,6.41,0.053,forgotten,2,high,Chennai,True,True
139,pear,Fruit,Feb,2025,347,197.8,49.04,1.476,improper_storage,3,low,Bangalore,False,False
140,corn,Vegetable,Aug,2024,209,179.7,83.04,0.897,over_purchased,3,low,Hyderabad,True,True
141,walnut,Nut,Dec,2025,292,1909.7,27.73,1.44,quality_issue,1,high,Hyderabad,True,True
142,olive_oil,Oil,May,2025,202,1785.7,72.59,0.134,improper_storage,4,medium,Delhi,True,False
143,kiwi,Fruit,Jan,2025,429,261.7,62.89,1.243,over_purchased,1,high,Kolkata,False,False
144,cauliflower,Vegetable,May,2025,79,19.8,3.78,0.254,improper_storage,6,medium,Kolkata,True,False
145,cauliflower,Vegetable,Feb,2024,367,91.8,91.68,0.543,improper_storage,6,medium,Bangalore,True,False
146,avocado,Fruit,Jan,2024,450,720.0,132.52,1.671,expired,4,high,Bangalore,False,False
147,potato,Vegetable,Jan,2024,482,371.1,133.69,0.263,forgotten,6,low,Pune,False,False
148,olive_oil,Oil,Jun,2025,66,583.4,7.28,0.072,forgotten,2,low,Chennai,False,True
149,peach,Fruit,Mar,2024,133,51.9,51.81,0.449,improper_storage,2,high,Chennai,True,False
150,carrot,Vegetable,Feb,2024,416,216.3,112.02,0.176,over_purchased,2,high,Kolkata,False,False
151,carrot,Vegetable,Aug,2025,178,92.6,15.83,0.634,expired,3,medium,Pune,True,False
152,lettuce,Vegetable,Oct,2024,434,65.1,109.68,0.79,not_preferred,4,low,Hyderabad,False,False
153,oats,Grain,Nov,2024,498,1937.2,105.42,0.288,quality_issue,6,low,Delhi,True,True
154,corn,Vegetable,Sep,2025,51,43.9,7.18,0.21,power_cut,5,high,Hyderabad,False,False
155,zucchini,Vegetable,Jul,2024,20,3.4,5.04,0.061,expired,5,high,Mumbai,True,False
156,watermelon,Fruit,Feb,2024,30,9.0,3.76,0.091,improper_storage,2,high,Bangalore,False,False
157,cream,Dairy,Dec,2025,489,1662.6,125.83,2.161,improper_storage,5,medium,Hyderabad,True,True
158,salmon,Protein,Aug,2024,51,106.1,4.21,0.208,not_preferred,3,low,Pune,False,False
159,watermelon,Fruit,Jun,2024,368,110.4,105.35,1.311,power_cut,6,medium,Mumbai,False,False
160,rice,Grain,Dec,2025,487,1003.2,24.31,1.447,improper_storage,2,low,Hyderabad,True,True
161,carrot,Vegetable,Apr,2024,463,240.8,29.38,1.592,not_preferred,6,high,Bangalore,False,False
162,pineapple,Fruit,Apr,2024,401,200.5,13.21,0.618,forgotten,1,low,Pune,False,False
163,cream,Dairy,Apr,2025,192,652.8,18.13,0.877,forgotten,5,medium,Hyderabad,True,True
164,lettuce,Vegetable,Aug,2025,439,65.8,40.33,0.324,over_purchased,4,medium,Delhi,False,True
165,peach,Fruit,Feb,2025,359,140.0,52.84,1.303,over_purchased,4,low,Bangalore,True,True
166,pear,Fruit,Aug,2024,143,81.5,16.25,0.121,power_cut,3,medium,Kolkata,False,False
167,pineapple,Fruit,Dec,2024,236,118.0,30.99,0.324,quality_issue,6,low,Chennai,False,False
168,butter,Dairy,Apr,2025,138,989.5,10.46,0.333,improper_storage,1,medium,Hyderabad,False,False
169,carrot,Vegetable,Apr,2024,59,30.7,6.73,0.232,improper_storage,6,low,Kolkata,False,True
170,egg,Protein,Oct,2024,484,377.5,129.28,1.462,forgotten,1,high,Mumbai,True,True
171,walnut,Nut,Nov,2025,114,745.6,12.15,0.283,over_purchased,6,low,Mumbai,False,True
172,cheese,Dairy,Mar,2025,84,337.7,21.77,0.102,improper_storage,2,medium,Delhi,True,True
173,chicken,Protein,Nov,2024,189,451.7,63.45,0.603,quality_issue,5,high,Delhi,False,False
174,cheese,Dairy,Jan,2024,319,1282.4,94.63,0.275,not_preferred,4,high,Bangalore,True,False
175,cream,Dairy,Dec,2025,474,1611.6,91.59,1.076,over_purchased,6,low,Mumbai,True,False
176,salmon,Protein,Mar,2024,429,892.3,154.71,2.004,not_preferred,1,low,Pune,False,True
177,orange,Fruit,Jul,2025,203,125.9,70.43,0.38,not_preferred,6,high,Pune,False,False
178,walnut,Nut,Mar,2024,53,346.6,5.73,0.034,not_preferred,6,high,Pune,True,True
179,broccoli,Vegetable,Jun,2024,86,47.3,29.66,0.248,quality_issue,3,medium,Hyderabad,False,False
180,tofu,Protein,Sep,2025,427,324.5,69.32,2.065,expired,3,medium,Hyderabad,False,True
181,potato,Vegetable,Sep,2025,293,225.6,14.24,0.419,not_preferred,5,high,Hyderabad,False,False
182,olive_oil,Oil,Jul,2024,143,1264.1,48.99,0.309,forgotten,5,high,Delhi,False,True
183,onion,Vegetable,Sep,2024,347,138.8,93.06,0.276,power_cut,2,low,Kolkata,False,False
184,cauliflower,Vegetable,Feb,2025,255,63.7,25.95,0.715,power_cut,2,low,Mumbai,True,False
185,kiwi,Fruit,Aug,2024,103,62.8,39.43,0.417,improper_storage,3,low,Hyderabad,False,True
186,onion,Vegetable,Mar,2025,119,47.6,27.38,0.092,not_preferred,5,high,Chennai,True,True
187,garlic,Vegetable,Sep,2025,112,166.9,41.54,0.107,over_purchased,6,high,Chennai,False,True
188,mushroom,Vegetable,Mar,2024,88,19.4,18.47,0.1,expired,1,high,Kolkata,False,False
189,rice,Grain,Jun,2024,139,286.3,20.12,0.643,not_preferred,2,high,Delhi,False,True
190,banana,Fruit,Feb,2024,347,364.4,99.16,0.738,power_cut,4,low,Mumbai,False,False
191,cheese,Dairy,Jan,2025,347,1394.9,84.95,1.317,forgotten,1,high,Delhi,False,True
192,zucchini,Vegetable,Jan,2024,97,16.5,33.96,0.107,over_purchased,6,low,Pune,False,True
193,spinach,Vegetable,Aug,2025,155,35.6,57.66,0.121,expired,4,high,Pune,True,False
194,cherry,Fruit,Jan,2024,204,102.0,11.35,0.384,not_preferred,2,high,Chennai,False,True
195,orange,Fruit,Jul,2025,467,289.5,41.56,2.284,power_cut,4,medium,Delhi,False,False
196,spinach,Vegetable,Sep,2024,204,46.9,73.7,0.988,not_preferred,4,low,Mumbai,True,True
197,chicken,Protein,Jun,2024,144,344.2,32.18,0.107,power_cut,1,high,Hyderabad,True,False
198,tofu,Protein,Feb,2025,268,203.7,54.86,1.326,expired,4,low,Hyderabad,False,True
199,bread,Grain,Oct,2024,361,956.6,32.68,1.292,forgotten,3,medium,Bangalore,True,True
200,lettuce,Vegetable,Jun,2024,496,74.4,141.48,1.054,forgotten,5,high,Pune,True,True
201,blueberry,Fruit,Oct,2025,396,225.7,50.68,0.488,improper_storage,6,high,Delhi,False,False
202,kiwi,Fruit,Oct,2024,485,295.8,41.2,1.267,over_purchased,5,low,Pune,True,True
203,avocado,Fruit,Feb,2025,70,112.0,10.02,0.023,improper_storage,6,high,Pune,False,False
204,banana,Fruit,Aug,2025,183,192.2,32.31,0.754,forgotten,3,low,Delhi,False,False
205,pasta,Grain,Jul,2024,268,589.6,24.69,0.186,not_preferred,2,medium,Mumbai,True,True
206,walnut,Nut,Jul,2024,173,1131.4,41.06,0.09,over_purchased,1,high,Bangalore,False,False
207,mushroom,Vegetable,Mar,2025,24,5.3,3.38,0.041,over_purchased,1,medium,Mumbai,False,False
208,potato,Vegetable,May,2025,79,60.8,14.72,0.347,expired,3,low,Chennai,True,False
209,peach,Fruit,Dec,2024,156,60.8,31.41,0.335,improper_storage,3,high,Mumbai,True,True
210,tuna,Protein,May,2025,360,475.2,74.82,1.003,improper_storage,4,medium,Kolkata,True,False
211,milk,Dairy,Dec,2024,372,554.3,77.44,1.49,over_purchased,3,low,Bangalore,False,True
212,pear,Fruit,Feb,2024,433,246.8,99.31,1.13,improper_storage,6,high,Mumbai,False,True
213,peach,Fruit,Sep,2025,143,55.8,48.45,0.435,not_preferred,4,high,Hyderabad,False,True
214,beef,Protein,Sep,2024,159,397.5,45.54,0.075,quality_issue,2,medium,Delhi,False,True
215,chickpeas,Legume,Aug,2024,5,8.2,0.69,0.002,improper_storage,2,medium,Kolkata,False,False
216,butter,Dairy,Aug,2024,36,258.1,1.48,0.155,over_purchased,4,medium,Bangalore,True,False
217,cucumber,Vegetable,Feb,2025,35,5.6,13.09,0.015,over_purchased,2,high,Chennai,False,False
218,walnut,Nut,Jul,2025,153,1000.6,30.89,0.394,expired,2,low,Pune,True,True
219,cherry,Fruit,Jun,2024,194,97.0,14.83,0.963,improper_storage,6,high,Chennai,True,False
220,cream,Dairy,Apr,2025,303,1030.2,46.2,0.642,forgotten,3,low,Delhi,True,True
221,beef,Protein,Jul,2024,9,22.5,1.31,0.026,power_cut,6,high,Delhi,False,False
222,lemon,Fruit,Jan,2024,148,42.9,49.18,0.078,not_preferred,3,medium,Kolkata,True,True
223,chickpeas,Legume,Jun,2024,204,334.6,54.63,0.794,expired,5,medium,Hyderabad,True,False
224,kiwi,Fruit,Jun,2024,296,180.6,78.94,0.997,expired,2,low,Delhi,False,True
225,peach,Fruit,Jul,2024,56,21.8,3.9,0.16,improper_storage,2,high,Hyderabad,True,True
226,carrot,Vegetable,Jul,2024,314,163.3,68.19,0.675,over_purchased,6,medium,Hyderabad,True,False
227,carrot,Vegetable,Feb,2024,345,179.4,106.09,1.236,improper_storage,3,low,Hyderabad,True,True
228,potato,Vegetable,May,2024,198,152.5,61.75,0.849,over_purchased,3,medium,Pune,False,True
229,grape,Fruit,Sep,2025,119,82.1,16.53,0.115,improper_storage,3,medium,Bangalore,True,True
230,olive_oil,Oil,Feb,2025,168,1485.1,63.06,0.365,quality_issue,1,high,Bangalore,False,True
231,garlic,Vegetable,Jan,2024,224,333.8,49.1,0.961,improper_storage,4,high,Mumbai,False,True
232,spinach,Vegetable,May,2024,383,88.1,100.53,0.524,improper_storage,2,medium,Hyderabad,False,True
233,cheese,Dairy,Jul,2025,103,414.1,3.57,0.43,power_cut,4,medium,Kolkata,True,False
234,mango,Fruit,Jun,2025,243,145.8,33.56,0.498,improper_storage,2,high,Bangalore,False,False
235,avocado,Fruit,May,2024,352,563.2,83.16,1.21,power_cut,3,medium,Bangalore,False,False
236,onion,Vegetable,Aug,2024,485,194.0,146.71,2.108,not_preferred,5,low,Delhi,False,False
237,chicken,Protein,Sep,2024,480,1147.2,120.18,1.202,forgotten,3,medium,Chennai,True,True
238,lemon,Fruit,Aug,2025,404,117.2,105.86,1.748,not_preferred,2,high,Chennai,False,False
239,olive_oil,Oil,Oct,2025,308,2722.7,66.15,1.499,not_preferred,4,high,Bangalore,False,False
240,beef,Protein,Feb,2024,464,1160.0,84.06,2.287,improper_storage,6,medium,Delhi,True,False
241,strawberry,Fruit,Nov,2025,297,145.5,56.41,1.465,power_cut,6,medium,Chennai,True,False
242,cheese,Dairy,May,2025,161,647.2,29.8,0.213,not_preferred,1,medium,Chennai,True,True
243,strawberry,Fruit,Mar,2025,301,147.5,20.31,0.632,not_preferred,5,medium,Hyderabad,False,False
244,peach,Fruit,Dec,2024,395,154.1,125.21,1.582,power_cut,2,low,Kolkata,True,False
245,potato,Vegetable,Oct,2025,472,363.4,50.48,1.233,expired,5,low,Delhi,True,False
246,beef,Protein,Jan,2025,256,640.0,97.26,0.984,expired,4,high,Pune,False,True
247,mushroom,Vegetable,Oct,2024,234,51.5,17.46,0.478,improper_storage,6,medium,Pune,False,True
248,watermelon,Fruit,Nov,2025,80,24.0,20.71,0.38,forgotten,6,medium,Delhi,True,False
249,broccoli,Vegetable,Jan,2024,197,108.3,7.9,0.694,over_purchased,4,high,Pune,False,False
250,peach,Fruit,May,2025,280,109.2,42.76,0.347,expired,3,medium,Pune,False,False
251,tuna,Protein,Dec,2024,93,122.8,7.95,0.405,not_preferred,1,medium,Kolkata,False,False
252,rice,Grain,Mar,2024,231,475.9,33.07,0.195,over_purchased,1,high,Pune,True,True
253,spinach,Vegetable,Sep,2025,484,111.3,40.29,1.777,quality_issue,2,low,Bangalore,True,False
254,chickpeas,Legume,Jan,2024,219,359.2,40.42,1.089,quality_issue,4,high,Bangalore,True,True
255,orange,Fruit,Jan,2025,489,303.2,93.15,0.397,forgotten,4,high,Delhi,True,False
256,garlic,Vegetable,Nov,2024,309,460.4,78.92,0.096,quality_issue,4,high,Bangalore,False,True
257,avocado,Fruit,Mar,2024,216,345.6,70.3,0.778,forgotten,5,medium,Kolkata,True,True
258,lemon,Fruit,Jun,2024,51,14.8,6.01,0.02,quality_issue,5,medium,Kolkata,True,False
259,cheese,Dairy,Feb,2025,281,1129.6,28.62,0.473,power_cut,4,low,Kolkata,True,False
260,carrot,Vegetable,Aug,2025,356,185.1,69.15,0.133,quality_issue,2,medium,Delhi,False,True
261,pasta,Grain,Jul,2024,497,1093.4,100.8,1.011,improper_storage,5,medium,Mumbai,True,True
262,peach,Fruit,Jun,2024,500,195.0,58.63,2.35,power_cut,1,high,Kolkata,False,False
263,potato,Vegetable,Feb,2025,42,32.3,1.88,0.051,not_preferred,3,high,Pune,True,False
264,blueberry,Fruit,Dec,2025,193,110.0,53.56,0.674,not_preferred,6,low,Pune,True,True
265,butter,Dairy,Jan,2025,274,1964.6,29.91,0.957,power_cut,3,high,Hyderabad,True,False
266,corn,Vegetable,Feb,2024,340,292.4,122.73,1.441,power_cut,1,medium,Mumbai,True,False
267,orange,Fruit,Jun,2024,490,303.8,116.47,1.496,not_preferred,4,low,Chennai,True,False
268,corn,Vegetable,Mar,2025,179,153.9,62.92,0.467,forgotten,1,low,Hyderabad,False,False
269,chickpeas,Legume,May,2024,12,19.7,3.47,0.058,power_cut,1,low,Pune,False,False
270,beef,Protein,May,2024,309,772.5,81.12,0.364,forgotten,6,medium,Delhi,False,True
